,X,idx,beta,pval,cilb,ciub,i2,tau2,symbol
2,ENSG00000080503.18,25652,-0.787596765752443,3.81474554666201e-22,-0.947132404000314,-0.628061127504573,96.1865950943333,0.133108244098486,SMARCA2
4,ENSG00000198300.11,44641,-2.57996245166239,3.92155406826697e-20,-3.13018334932206,-2.02974155400272,98.0939775694005,1.66328296524052,PEG3
5,ENSG00000069702.9,49098,-2.0401642344462,4.18658064448683e-20,-2.47559739527902,-1.60473107361339,98.0896305660232,1.04675069868881,TGFBR3
6,ENSG00000119508.16,34408,-2.11638960100743,1.13453300072303e-19,-2.57346388516476,-1.6593153168501,90.5981333926954,1.0076605956285,NR4A3
10,ENSG00000165795.19,10785,-1.51181859296966,1.46592552140668e-17,-1.8592016139868,-1.16443557195251,98.4585777381738,0.680418355614116,NDRG2
11,ENSG00000197579.6,59244,-0.314871354898209,2.25884570289167e-17,-0.387649945116738,-0.24209276467968,88.0252130450674,0.0237083638685023,TOPORS
12,ENSG00000128918.13,42281,-2.27803326060442,4.11454692022213e-17,-2.8089585969601,-1.74710792424874,97.6331778624665,1.54433155444549,ALDH1A2
13,ENSG00000122035.6,21351,-1.28036413042888,6.20706377820025e-17,-1.58049572043188,-0.980232540425871,95.6442556241598,0.452749261331877,RASL11A
15,ENSG00000166091.18,34473,-4.16417594033994,3.11383812686119e-16,-5.16329462640545,-3.16505725427443,98.2276627478858,5.53206153765089,CMTM5
23,ENSG00000107562.15,53265,-2.22944138685281,8.76836174195133e-15,-2.79283130657112,-1.66605146713449,98.5778032849832,1.80971344802829,CXCL12
26,ENSG00000185345.17,9202,-1.5949647066339,2.37196766360718e-14,-2.00474457023305,-1.18518484303475,98.7035517568093,0.944912699573091,PARK2
29,ENSG00000266412.4,50628,-0.523030048649459,3.55649184877486e-14,-0.658336860717235,-0.387723236581684,95.3808838946323,0.0971258201246793,NCOA4
30,ENSG00000077092.17,4848,-0.789103323322233,7.52240621460457e-14,-0.995913723245786,-0.582292923398681,92.2454784771852,0.19784537282973,RARB
31,ENSG00000184481.15,33783,-0.820922111741555,1.44230897766356e-13,-1.03857586172938,-0.603268361753731,98.1428524471519,0.264863225588239,FOXO4
32,ENSG00000120057.4,55125,-3.8537469559051,1.71174159412162e-13,-4.87866444269001,-2.82882946912019,96.2323951350622,5.6260585425158,SFRP5
36,ENSG00000104332.10,56547,-3.64876368994943,5.86357687749828e-13,-4.64152122646555,-2.65600615343331,98.9961653409944,5.60534337346692,SFRP1
37,ENSG00000205364.3,40890,-2.86294440818661,6.22391201314063e-13,-3.64277619359243,-2.08311262278078,97.9447298120196,3.31339292936671,MT1M
38,ENSG00000119147.8,53607,-3.74975573351744,6.80688623632369e-13,-4.77288269586847,-2.72662877116641,98.9402444394819,5.95238487354278,C2orf40
39,ENSG00000113594.8,45478,-2.06665607946482,6.9748589263056e-13,-2.63080825205406,-1.50250390687557,98.8997538870858,1.78077330975993,LIFR
40,ENSG00000144891.16,44206,-3.14299938468165,7.02271787771105e-13,-4.00108161547351,-2.28491715388979,98.8090336749455,4.14833726324784,AGTR1
41,ENSG00000144655.13,33591,-1.32789111212084,8.68092236059604e-13,-1.69189625729659,-0.963885966945101,96.5273612879379,0.719932181776824,CSRNP1
43,ENSG00000184226.13,25365,-2.58175946072779,1.2856186794794e-12,-3.29487457296699,-1.86864434848858,98.4806844637114,2.89557796661031,PCDH9
46,ENSG00000215301.8,30228,-0.327891864407208,1.57762454294825e-12,-0.418823206730185,-0.236960522084231,86.8860435494132,0.0366084403955345,DDX3X
49,ENSG00000120738.7,39837,-1.65202733855141,2.00169256054429e-12,-2.11232669551309,-1.19172798158972,95.5064441266816,1.13218785507618,EGR1
52,ENSG00000196914.7,23333,-0.430379664023949,5.37294912905414e-12,-0.552712499613061,-0.308046828434836,91.9630427818548,0.0690696965722553,ARHGEF12
53,ENSG00000148481.12,51461,-0.454814963013314,6.67777836191938e-12,-0.584676676909039,-0.32495324911759,96.6425351754103,0.0927702707329643,FAM188A
54,ENSG00000172403.9,14122,-2.39130133002675,7.7000323985954e-12,-3.07611280244169,-1.7064898576118,98.6303351276532,2.5580121117697,SYNPO2
55,ENSG00000104219.11,54792,-0.802258411439812,7.86105318300397e-12,-1.03210555499048,-0.572411267889143,96.4597769905438,0.277513408801834,ZDHHC2
56,ENSG00000120129.5,26784,-1.56883739874348,9.52529105035874e-12,-2.02012751030013,-1.11754728718682,97.5042440264851,1.10149440869929,DUSP1
57,ENSG00000168702.15,56823,-2.617353722963,1.04018407385571e-11,-3.37166155648032,-1.86304588944569,97.1036190170887,2.99704436349163,LRP1B
59,ENSG00000155090.13,57042,-0.757698695400052,1.54867531518468e-11,-0.97792767848099,-0.537469712319113,92.9337010270872,0.234249195173583,KLF10
60,ENSG00000104695.11,58362,-0.526758256557897,1.70134503712426e-11,-0.680174178059071,-0.373342335056723,97.7375728266284,0.130284183053555,PPP2CB
