	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0870469242535216	0.916634082253913	0.0339295308600815	-2.56552100919065	0.0103020982290475	0.857659953407352	0.979663370560109
BRCA	-0.115149088378833	0.891233261479349	0.0450604901930383	-2.55543354911446	0.0106055609007833	0.815897922937028	0.973524633458862
CESC	-0.054690536263251	0.946778096110225	0.0551220510462227	-0.992171648645478	0.321113800121769	0.849822503200457	1.05479527771773
CHOL	0.0909066847262497	1.09516680469992	0.126469208698485	0.718804882720348	0.472261148783974	0.854731059793202	1.40323709589636
COAD	0.00428967565434489	1.00429888948302	0.031628238015247	0.135628031263612	0.892115344463692	0.94393258295324	1.06852573757039
ESCA	-0.0670057269827711	0.935189845505307	0.061578450016422	-1.08813597881892	0.27653508249437	0.828865590709454	1.0551530392131
GBM	-0.152462936566924	0.858590715686211	0.0936490760824012	-1.62802392660844	0.103519812486331	0.714614706990177	1.03157409139733
HNSC	0.0554131991795166	1.0569772665965	0.0383145762270588	1.44626940021804	0.148101654894137	0.980510435553608	1.13940749796408
KICH	-0.0458816614753722	0.955154987134949	0.112360457845901	-0.408343489827155	0.683021514840086	0.766359336037154	1.19046119300429
KIRC	-0.0170849125376978	0.983060206953927	0.0425426701098552	-0.401594739906558	0.687982301652231	0.904414945169913	1.06854422923621
KIRP	-0.0463654382156858	0.954693017122961	0.0609418110384887	-0.760814905654889	0.446767630109986	0.847207871957332	1.07581478774225
LIHC	-0.0771122980714572	0.925785883799467	0.0340829439742771	-2.26248935918373	0.0236671855338882	0.865962528706279	0.989742020272876
LUAD	-0.0497888871040354	0.951430262498247	0.0372887287299143	-1.33522618764134	0.18180232831863	0.884375571046944	1.02356914192673
LUSC	0.0750327058513033	1.07791940457989	0.0406119070641766	1.8475543572168	0.0646668377318121	0.995445235208711	1.16722668578172
PAAD	0.0182008757616067	1.01836752119647	0.0541893730422464	0.33587537075613	0.736964850501686	0.915753235879048	1.13248020055572
PCPG	-0.0161097182855291	0.984019349216282	0.183320718399626	-0.0878772373693796	0.929974248547346	0.687006363566877	1.40943975337395
PRAD	-0.266332089394999	0.766184643452929	0.241793655067845	-1.1014850216821	0.270685619899684	0.476999925147029	1.23068972742951
READ	-0.0444589740792928	0.956514841190694	0.069596396456644	-0.638811437701219	0.522945606675718	0.834547677425232	1.09630721667191
SARC	0.0260044663364182	1.02634553246763	0.0336250751354149	0.773365300499494	0.439306219696056	0.9608860322597	1.09626440249011
STAD	0.0854611499410356	1.0892192442902	0.0437344467084214	1.95409240022646	0.0506902907020164	0.9997432424766	1.18670325712141
THCA	0.0596414593376911	1.06145590320883	0.155693471823919	0.383069750060826	0.701668047980346	0.7823037880825	1.44021881476312
THYM	-0.366433820467966	0.693202010749246	0.157536554379271	-2.32602408953145	0.0200172656029887	0.509054704727539	0.943963435057517
UCEC	-0.00618293389985615	0.993836141102542	0.0523971706825703	-0.118001293186483	0.906066633228403	0.896838478831841	1.10132459598312
