	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0697707829507668	1.07226237226651	0.127669857509474	0.54649377943881	0.584726562529759	0.834888129562197	1.37712653260685
BRCA	-0.0449584565393447	0.956037198101843	0.134474729156294	-0.334326433088341	0.738133246155459	0.734530262649026	1.24434236495325
CESC	0.121812651167848	1.12954246349444	0.20607385672361	0.591111619419173	0.554445634993787	0.754209810691514	1.69165948089072
CHOL	-0.0745517189852325	0.928159469351728	0.567057230562812	-0.131471243054672	0.895402533812463	0.305451744681927	2.82034729068043
COAD	-0.112705317202892	0.893413895034274	0.17046916570827	-0.661147819516923	0.508517520966322	0.639659840933214	1.24783257719574
ESCA	0.142735772613807	1.15342499492706	0.296619876792839	0.481207713242678	0.630368879420641	0.644920321097837	2.06287377742694
GBM	-0.373113560242822	0.688587032293212	0.175953944058471	-2.12051831085316	0.033962359001535	0.487737975132279	0.972145137794077
HNSC	-0.00751677917183234	0.992511401160076	0.148069294616388	-0.0507652798056918	0.959512557887813	0.742503819778117	1.32669873904098
KICH	-1.02472841207366	0.35889392342758	0.984430119661157	-1.04093565567293	0.297905412135535	0.0521215914990906	2.47123782234257
KIRC	-0.445482281391218	0.640515292923338	0.178972962043818	-2.48910380821741	0.0128065566555581	0.451011319464481	0.909644221248818
KIRP	-0.589120163600201	0.554815216675683	0.369772478854878	-1.59319634988684	0.111116149828591	0.268780315341847	1.14524727848238
LIHC	0.0372905297631892	1.03799454534457	0.134560463200183	0.277128428933192	0.781681493247768	0.797364685676477	1.35124202955011
LUAD	-0.119061890197272	0.887752855862314	0.122405085807506	-0.972687445230083	0.330708666900377	0.698394290290614	1.12845300147536
LUSC	0.0315561759140091	1.03205935084457	0.126859042243192	0.248749914519417	0.803554235858174	0.804863180600349	1.32338828429351
PAAD	-0.696795681673025	0.498179073289972	0.261449894453838	-2.66512129648632	0.007696055829641	0.298427559135666	0.831633612468177
PCPG	0.102395005984413	1.10782098123005	1.12704954945242	0.0908522664634946	0.927609979104513	0.121653125230856	10.0882515276495
PRAD	0.668844139594611	1.95197980003496	0.736588617749504	0.908029425757525	0.363862675183682	0.460776106749654	8.26914652025278
READ	0.671034732055479	1.9562604791686	0.489325872089298	1.37134529427257	0.170267342283409	0.749741833324992	5.10436378531125
SARC	0.0691350101947328	1.07158087372496	0.136659257124989	0.505893355848565	0.612931516817473	0.81978578396134	1.40071417606738
STAD	0.0434727538348199	1.04443153717017	0.128906166668394	0.337243399275473	0.735933423651716	0.811250260203196	1.34463714755842
THCA	-0.517294553632032	0.596131169169616	0.990795615203603	-0.522100164447872	0.601600591995121	0.0855017636752646	4.15631626272923
THYM	-0.343881635167949	0.709012845269341	0.784255358741363	-0.438481715598142	0.66103712177405	0.152438522862477	3.29771769836971
UCEC	-0.0651608131925313	0.936916782683047	0.177283121710904	-0.367552266474579	0.713207112719817	0.661907575518323	1.32618675195817
