	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.174083478123005	1.19015491357189	0.0490357014708367	3.55013740807887	0.000385030127089128	1.08109592206273	1.31021557790793
BRCA	-0.0605584599421809	0.941238742647528	0.0693189094849628	-0.873621070962141	0.382324647358935	0.821666219017166	1.07821199187233
CESC	0.0953865322376503	1.10008399088307	0.0783625163135533	1.21724692780383	0.223510280216992	0.943460125417831	1.28270899256211
CHOL	0.11232835291912	1.1188801879111	0.173832308655321	0.646188006061909	0.518157606097641	0.795824407237621	1.57307675350825
COAD	0.00512023072092423	1.00513336150356	0.0853418373609012	0.059996724692853	0.952158243309307	0.850316456618413	1.18813774159473
ESCA	-0.0752186669813614	0.927540641639446	0.097505462984697	-0.771430283790013	0.440451930657802	0.766189414244976	1.1228706973728
GBM	-0.0183266168737688	0.981840294374444	0.107580690450102	-0.170352289031545	0.864733091460037	0.795184675094504	1.2123100379704
HNSC	-0.00536117651046409	0.994653168948695	0.056404663609772	-0.0950484617292404	0.924276334235882	0.890553334093309	1.11092159068378
KICH	-0.159899573431865	0.852229371139785	0.455227710195249	-0.351251845726358	0.725399417630745	0.349193352984518	2.07992189663906
KIRC	-0.129377471877612	0.878642240204869	0.0803262819415017	-1.61064932610515	0.107256176298305	0.750651268320974	1.02845651350065
KIRP	0.104081253060172	1.10969061701104	0.129436272917058	0.804111944160096	0.421332327096919	0.861044423927888	1.43013906281967
LIHC	-0.147601236373772	0.86277508967856	0.0747391751540654	-1.9748844708215	0.0482812600817841	0.745211410846658	0.998885476705373
LUAD	-0.144221831835406	0.865695687894114	0.0614333942222834	-2.34761294994659	0.0188941435735528	0.767490580961365	0.976466738001817
LUSC	-0.0042945180614771	0.995714690194823	0.0642691100879826	-0.0668208732873074	0.946724306065622	0.877867455004572	1.12938204807309
PAAD	0.0451006810503285	1.04613318039412	0.100072757713849	0.450678906833872	0.652220986946047	0.859814750010596	1.2728260722534
PCPG	-0.694962836737012	0.499092995564739	0.518273904049764	-1.34091805762669	0.179947058667488	0.18072820198637	1.37827862770732
PRAD	-0.65369590455849	0.520119906503512	0.317343407806658	-2.05990068952923	0.0394080357865113	0.279241702612224	0.968783367994617
READ	0.140680575435934	1.15105691340336	0.203329073977812	0.691886175861334	0.489008812775567	0.772721108499038	1.71463158353118
SARC	-0.107606130406377	0.897981214282154	0.0784827234210746	-1.37108048390536	0.170349868022258	0.769950199869355	1.04730184022353
STAD	0.16678281109046	1.1814976292584	0.0617825508025167	2.6995131946489	0.00694410021004267	1.04675116265455	1.3335897754373
THCA	0.452210495741136	1.57178276733697	0.559055937405141	0.80888237738798	0.41858280639862	0.525440139368728	4.70177453642117
THYM	-0.118987369253136	0.887819014508364	0.289328159491901	-0.41125402194551	0.680886279721307	0.503556105740624	1.56531237241835
UCEC	0.124046875021519	1.13206893551118	0.0834797088909537	1.48595241489829	0.137291708013478	0.961202333099739	1.33330936746325
