	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0614099939171212	1.06333478562274	0.0452028078968761	1.35854378907655	0.174291197680766	0.973180328432227	1.16184106201248
BRCA	-0.0826109043914812	0.920709321487302	0.066881757811367	-1.23517842674645	0.216764106327982	0.807593257875618	1.04966905853512
CESC	0.0560745664775272	1.05767654801081	0.0705040386035677	0.795338360584207	0.426416704947641	0.921169878252458	1.21441191969313
CHOL	0.00755602247546891	1.00758464124925	0.142590625156363	0.0529910186394307	0.957739063747999	0.761917903442543	1.33246220451616
COAD	0.0625354709374478	1.0645322182039	0.0507763179153572	1.23158735223166	0.218103267888256	0.963691281137819	1.17592518037117
ESCA	-0.0117126578477089	0.988355668308753	0.0881108529946945	-0.132930932451807	0.894248003428032	0.831597477456549	1.17466316764902
GBM	-0.0943249484598299	0.909987015313024	0.0798488672281016	-1.18129350777607	0.237486145493155	0.77815787406023	1.0641495712401
HNSC	0.0124934022198819	1.0125717707927	0.0514324389259381	0.242908998304984	0.808075894675476	0.915474905715844	1.11996689871531
KICH	-0.888908800356834	0.411104104739489	0.297904557784552	-2.98387109941334	0.00284626650967937	0.229284656828961	0.737103769920941
KIRC	-0.229263901601252	0.795118672724096	0.0609351965370463	-3.7624216320016	0.000168276045719023	0.705608525170552	0.895983652637583
KIRP	-0.217161688363856	0.804799832016372	0.0901226215854657	-2.40962462635328	0.0159689410600579	0.674489762834125	0.960285545168264
LIHC	-0.0750407874231596	0.927705646834085	0.0504901063712529	-1.48624736243148	0.137213704045326	0.840297252695364	1.02420633223212
LUAD	-0.13986206607834	0.869478157660026	0.054727302798867	-2.55561774334757	0.0105999492563245	0.781042581755093	0.967927081451911
LUSC	0.161374123588704	1.17512452838968	0.0554408067915604	2.91074630633387	0.00360566649316802	1.05412615963378	1.31001175201155
PAAD	-0.184463212052779	0.831550530373743	0.088341483269303	-2.08807012545234	0.0367915094356685	0.699346229922965	0.98874671082594
PCPG	-1.18694358568329	0.305152512709537	0.67995801483928	-1.74561305224682	0.0808782126749216	0.0804888345220006	1.15690650219927
PRAD	-0.513429897882564	0.598439468438025	0.40479051012494	-1.26838422601383	0.204660771927888	0.270683586156717	1.32305694064893
READ	0.183186577584018	1.20103847403414	0.163490989228199	1.1204689533582	0.262513975580267	0.871752371447676	1.65470546838292
SARC	-0.0433751420479217	0.957552104622186	0.0513497202977882	-0.844700648735375	0.398277997180355	0.865871517623634	1.05894005565954
STAD	0.139295112676858	1.14946327113719	0.0595420676822366	2.33944029992789	0.0193126579003121	1.02285200049403	1.29174681288715
THCA	0.340599786955181	1.40579051256267	0.467773506365815	0.728129708758709	0.466534189255504	0.562019103066933	3.51633415025725
THYM	-0.0169168408689452	0.983225445408956	0.31378190321158	-0.0539127358709988	0.957004689666424	0.531571231638472	1.81863166958803
UCEC	-0.0390770231224916	0.961676634956439	0.0588995799379034	-0.663451643690663	0.507041339767003	0.856828001832487	1.07935542284243
