	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0247890850313888	1.025098889022	0.0260891146065691	0.950169655245679	0.342026054660648	0.973999352634599	1.07887929230314
BRCA	-0.00335224743616212	0.996653365072018	0.0266804371149669	-0.125644397118277	0.900013417591315	0.94587491552785	1.05015781030101
CESC	0.00299013655945606	1.00299461147687	0.0390124712050436	0.0766456588648372	0.938905435237584	0.929161323910081	1.08269486123057
CHOL	0.00589048002163593	1.00590786301371	0.115133017269951	0.0511623873091468	0.959196123150776	0.802706539290985	1.26054863059487
COAD	0.019924352240712	1.02012416700038	0.0283762575525152	0.702148696100551	0.482586436504281	0.96493736105069	1.07846722295537
ESCA	-0.0233862794993996	0.976885060210449	0.0493844938327092	-0.473555111825607	0.635817191777216	0.886762482443876	1.07616688770183
GBM	-0.00593672457100938	0.994080862956992	0.0598183091052572	-0.0992459442570171	0.920942996656732	0.884105874454661	1.1177357719819
HNSC	0.0105200760352415	1.01057560659287	0.0215751344469161	0.487601876184144	0.625831866380868	0.968732841528206	1.05422569862447
KICH	-0.303684094187102	0.73809399780925	0.177424321638412	-1.71162606897833	0.0869656009817307	0.521300110843111	1.04504629534981
KIRC	-0.263944562827785	0.768016115118201	0.0475210844945285	-5.55426218983229	2.78786766531958e-08	0.699713595503854	0.842985982938508
KIRP	-0.317624185967141	0.727876283141188	0.0979572968319397	-3.24247602005671	0.00118495919782863	0.600725636828421	0.881939859195244
LIHC	-0.104944132985017	0.900374822434897	0.0450505033042936	-2.32947748166478	0.0198337845814984	0.824282888299912	0.983491022780654
LUAD	-0.0259766569783846	0.974357833799265	0.0299440182187483	-0.867507386237171	0.385664066520966	0.918819252670435	1.0332534777942
LUSC	0.0679184757999574	1.07027805136008	0.0280270857553948	2.42331565945575	0.0153795565162251	1.01307108658953	1.1307154279562
PAAD	-0.0465734390203633	0.954494460857827	0.0544560434206033	-0.85524830845023	0.392413697543359	0.857867755180172	1.06200480237998
PCPG	-0.148250763082566	0.862214876170646	0.263329037044736	-0.562986766466548	0.573443895263391	0.514599581815951	1.44464651538688
PRAD	0.0273157491947438	1.02769224453834	0.321881147332595	0.0848628427638817	0.932370432364087	0.546861500552149	1.93129585538181
READ	0.10285696977751	1.10833287264116	0.0832017614999298	1.23623548255763	0.216371045012408	0.941561618175226	1.30464298126094
SARC	0.0110999171093889	1.01116174975662	0.0399114153430419	0.278113843219646	0.780924969434802	0.93507829097577	1.09343580536334
STAD	0.0572914874060983	1.05896444021029	0.0348312421363371	1.64483044221756	0.100004782435947	0.989083529167615	1.13378259020614
THCA	-0.0460606526438943	0.954984038127319	0.181301316805149	-0.254055808614989	0.799452443063151	0.6693791058574	1.36244843183415
THYM	0.291339845376461	1.33821929431992	0.16176519019754	1.80100456112153	0.0717021610565657	0.974613690506771	1.83747765615617
UCEC	0.0208086439923684	1.02102665335874	0.0302063624655384	0.688882814543075	0.490897015006649	0.962332995980959	1.0833000959364
