	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0133045874312537	1.01339348727569	0.0712700450566524	0.186678532624442	0.851912688684457	0.881278016087231	1.16531485105278
BRCA	-0.0156634536388753	0.984458580262815	0.0881316009748621	-0.177728005228715	0.858936590389096	0.828284804088335	1.17007904946391
CESC	0.137809344631598	1.14775670343555	0.117317719114613	1.17466777969802	0.240127654697972	0.911987350033388	1.44447776631223
CHOL	-0.162154172171198	0.850310100279826	0.270934843869363	-0.598498775039008	0.54950717603062	0.499985236341877	1.44609723264609
COAD	-0.144137174972692	0.865768978077332	0.143507267998154	-1.00438937332809	0.315190970111922	0.653504243940184	1.1469794272211
ESCA	-0.00942557554777379	0.990618705954006	0.142989402405484	-0.0659180008392867	0.947443109154603	0.74850330889305	1.31105021036882
GBM	-0.0828485885398036	0.920490509481474	0.114047032733078	-0.726442298009688	0.467567668873914	0.736109300444625	1.15105566188836
HNSC	-0.0304440710861961	0.970014682417676	0.0583988481903923	-0.521312868824777	0.602148837722789	0.865105589877127	1.0876458262621
KICH	-0.301362183574942	0.739809777267949	0.406268503525325	-0.741780819728637	0.458220143330248	0.333659649662872	1.64034970094304
KIRC	-0.323026849751891	0.723954416110507	0.118338346760463	-2.72968871540645	0.00633941536946017	0.574091925005093	0.912937412595127
KIRP	-0.341210808584078	0.710909026683486	0.286963788820525	-1.18903785730778	0.234424770082155	0.405088588183446	1.24760770597466
LIHC	-0.0894067807732183	0.914473507664418	0.0877165091642603	-1.01926970903268	0.308074940389687	0.77002832462419	1.08601433152241
LUAD	-0.254210480138776	0.775528551509434	0.0959301676247133	-2.64995346545488	0.00805028581555254	0.642601721261845	0.935952261418308
LUSC	0.103274845848798	1.10879611520991	0.070517697717243	1.46452378894873	0.143050888071657	0.965665959732503	1.27314089589028
PAAD	-0.332087713192368	0.717424392510823	0.149637293095542	-2.21928441982931	0.0264673808875955	0.535062659489174	0.961939223082597
PCPG	-0.133244558606211	0.875251015764232	0.349582195992294	-0.381153731894139	0.703089178913606	0.441131142531576	1.73659092894691
PRAD	-0.591544135955953	0.553471988559516	0.434361908794382	-1.36186927071448	0.173239145563473	0.236246900221714	1.29665719140669
READ	-0.166117752404326	0.846946498330932	0.272962470239818	-0.608573597162933	0.542807109561233	0.496032235617139	1.44611240868766
SARC	-0.07680547230459	0.926069982345367	0.059814088332797	-1.28406993143915	0.199117487789156	0.823625838898057	1.04125632259007
STAD	-0.0522796631747161	0.949063411638891	0.100556189980682	-0.519904972381704	0.603129809557249	0.779294563757137	1.15581630002536
THCA	-0.245541563006647	0.782280769178003	0.336497056490747	-0.729698992221049	0.46557419727111	0.404516126867336	1.51282770001015
THYM	-0.0760798006579584	0.926742248967264	0.303441932417374	-0.250722766138047	0.802028457934769	0.511291674723747	1.67976761304581
UCEC	-0.0331402610790242	0.967402861103497	0.1124253913659	-0.294775590072583	0.768165314615538	0.776087521978509	1.20587983850763
