	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0168681535718166	1.01701122418792	0.0161825311691769	1.04236805697897	0.297241070246796	0.985260678402848	1.04978494808185
BRCA	0.0125397674511306	1.0126187200054	0.0152852620083169	0.820382891984948	0.411997865165461	0.982732034610463	1.04341431437292
CESC	-0.0167036529985753	0.983435079492684	0.0240220118715261	-0.695347795509773	0.486837368061474	0.938205818720201	1.03084476378121
CHOL	0.0568774430989654	1.0585260727704	0.0849826635587379	0.669282895088986	0.503315035921495	0.896115904397712	1.25037111966873
COAD	0.00079270685611614	1.00079302113123	0.0194687230447274	0.0407169414396094	0.967521555479537	0.963324179212463	1.03971922719079
ESCA	0.00164043514040908	1.00164178139018	0.0315795451477054	0.0519461294561513	0.958571617877719	0.941525039419709	1.0655970008454
GBM	0.0160314211838278	1.01616061387392	0.01971984651145	0.812958720267899	0.41624172589724	0.977635118765469	1.05620427638949
HNSC	-0.00234847400910035	0.997654281498484	0.0136975638813712	-0.171451947911285	0.863868410909696	0.971226856755519	1.02480080577385
KICH	-0.101956878724923	0.903068492294156	0.0755003418964146	-1.35041611950322	0.17688254310182	0.778851539435282	1.04709647536391
KIRC	-0.0432548218772862	0.957667324386298	0.0210794002826366	-2.05199490010708	0.0401701580486011	0.918907617003492	0.998061923991785
KIRP	0.0739477914952117	1.07675058849047	0.0356931261917929	2.0717656138569	0.0382873049321791	1.00399852250878	1.15477443823075
LIHC	-0.00279119623621679	0.997212695530261	0.0146505484672488	-0.190518207728297	0.848903076774311	0.968985390987041	1.02626228359724
LUAD	-0.0640954726866187	0.9379154499482	0.0307767544088202	-2.08259363008888	0.0372882803361063	0.883011722334806	0.996232970639987
LUSC	0.0536152141842162	1.05507854477896	0.0236193135482211	2.26997342978472	0.0232091952115004	1.00734908322162	1.10506948801976
PAAD	0.0241148381060846	1.02440795220513	0.0239621114417439	1.00637367306767	0.314235852964529	0.977409047670269	1.07366680822371
PCPG	-0.102978844953728	0.902146058221252	0.0862291242178237	-1.19424667579359	0.232381489737755	0.761865823962291	1.0682557016817
PRAD	-0.151313927633434	0.859577811070854	0.0976707538652324	-1.54922452879006	0.121327754940757	0.709819130232025	1.04093279797043
READ	-0.00562336841043753	0.99439241313004	0.0404957781812036	-0.138863078152864	0.889558347597907	0.91851813059321	1.07653429840516
SARC	-0.0134207611889488	0.986668895690467	0.0154467650464606	-0.868839601598265	0.384934869073817	0.957245045542474	1.01699717774079
STAD	0.0157328940718139	1.01585730765534	0.0205128844751997	0.766976194441847	0.443095669457103	0.975825381748552	1.0575314895659
THCA	0.12256824072872	1.13039625650634	0.0640153572686369	1.91466932246225	0.0555346882628564	0.99710464567134	1.28150611098921
THYM	0.112370725208321	1.11892759843044	0.0769879055243141	1.45958932696035	0.144402974307556	0.962209769124052	1.30117050429562
UCEC	-0.0015908373059063	0.998410427405022	0.0180471651470046	-0.0881488750697411	0.929758350846193	0.963712147618961	1.03435801241473
