	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0465454212251333	1.04764566333739	0.0407573004908078	1.14201433030705	0.253448063110053	0.967212147951241	1.13476804260008
BRCA	-0.00106779272739537	0.9989327771604	0.0584607049501603	-0.0182651360141089	0.985427340254667	0.890788129864783	1.12020654500286
CESC	0.0476277575322942	1.04878018213055	0.0634475155333548	0.750663869687	0.452854972279555	0.926142574707141	1.18765717122723
CHOL	-0.00628620760540984	0.993733509261213	0.16829451611296	-0.0373524209261253	0.97020400877328	0.714524924788229	1.38204596252718
COAD	0.174650629472206	1.19083010298608	0.0788811635417492	2.21409803849774	0.0268220355469188	1.02024866813386	1.38993206114314
ESCA	0.0612105729831226	1.06312275554896	0.0737327036528846	0.830168567685879	0.406443484014185	0.920072442069319	1.22841413533051
GBM	0.0207551748980334	1.02097206144779	0.0592488812754908	0.350304924771957	0.726109869708779	0.909036075542949	1.14669151016296
HNSC	-0.0147451751046279	0.985363002637199	0.0455265918751845	-0.323880494833728	0.746028511586742	0.901247237550535	1.07732951238228
KICH	-0.435796936542021	0.646749043699327	0.25390749696892	-1.71636104386222	0.0860959819657393	0.393196227147442	1.06380554198234
KIRC	-0.143518591996643	0.866304693703562	0.0628583312481	-2.28320716040296	0.0224181685422356	0.765888518245856	0.979886503654193
KIRP	-0.0712267754942473	0.931250683346025	0.0846163533429735	-0.841761346125913	0.399921552266871	0.788934655821903	1.09923911800905
LIHC	-0.0202166473424973	0.97998633887074	0.0572909247026548	-0.352876959962221	0.724180684390817	0.875898732934835	1.09644321684928
LUAD	-0.162260988537928	0.850219278095056	0.0626414765243627	-2.59031232245652	0.00958888912741179	0.75198716239287	0.961283459340251
LUSC	0.142430295827427	1.15307270417734	0.0501958110956406	2.83749366169316	0.00454692495706127	1.0450328432865	1.27228217721606
PAAD	-0.243111537246969	0.78418404316424	0.0729729412126203	-3.33152992338102	0.000863700139282522	0.679678168903092	0.904758519088309
PCPG	-0.247231858647588	0.780959600301425	0.221825902558917	-1.11453106150182	0.265051426605096	0.505603436902679	1.20627719827062
PRAD	-0.496891087270887	0.608419244803174	0.255440888541099	-1.94522924700421	0.0517473932792871	0.368783315241914	1.00377094664394
READ	0.242266002119295	1.27413306984003	0.142980054723336	1.69440417817769	0.090188506122206	0.962742057962486	1.68624094712942
SARC	-0.0634153576683578	0.938553557300169	0.044741702820211	-1.41736576104813	0.156376017699546	0.859755283925215	1.02457384838524
STAD	0.206313491811503	1.22913846844859	0.0576760369177289	3.57710936529491	0.000347414845121698	1.09775867908958	1.37624179466576
THCA	0.0321990706494184	1.03272306969567	0.233629479832856	0.137821094634351	0.890381812346235	0.653308193469269	1.63248670281957
THYM	0.0331427702805985	1.03369811007592	0.197795193590724	0.167561049785553	0.8669286156421	0.701503994329413	1.52320128097911
UCEC	0.0656502385945614	1.06785315802016	0.0514742611710229	1.27539933747546	0.202167933071073	0.965376151366048	1.18120834607324
