	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0320675149733091	1.03258721805023	0.0305071200371398	1.05114854939666	0.293190369167126	0.972655478142451	1.09621174901208
BRCA	-0.0956656133995097	0.908767845058048	0.0341284171799136	-2.8031072433038	0.00506128363786297	0.849968421026456	0.971634916993865
CESC	-0.130423092887622	0.877723993570877	0.0468648221465291	-2.78296357297242	0.00538648534343466	0.800693976730366	0.962164611298732
CHOL	-0.15046645792479	0.860306585991677	0.147339084459441	-1.0212256881928	0.30714752444304	0.644522364294713	1.14833474042528
COAD	0.0177983003191756	1.01795763395188	0.0417403702698474	0.426404945718291	0.669812798203672	0.937994379394042	1.10473769063555
ESCA	-0.0396117331349332	0.961162554285286	0.0472040393606447	-0.839159819190358	0.401379631716937	0.876227121785093	1.05433104362045
GBM	-0.0584452812515889	0.94322985134454	0.094281136813808	-0.619904290791595	0.53532080068007	0.784088867362241	1.13467055776526
HNSC	0.00153478600408146	1.0015359643909	0.0299538459868386	0.0512383620038584	0.959135583518564	0.944430032815137	1.06209486474977
KICH	-0.142215591536296	0.867434224848249	0.248798569861308	-0.571609361000642	0.567586652179883	0.532670722115532	1.41258399081841
KIRC	-0.0244023483407396	0.975892981834513	0.0476050813422936	-0.512599656437513	0.6082313935838	0.888956840289283	1.07133110273828
KIRP	0.150113516439474	1.16196613750075	0.0788497417303568	1.90379211326802	0.0569372640874043	0.995580656622138	1.35615863538302
LIHC	-0.0280910673697349	0.972299817982337	0.0301634956251695	-0.931293498565686	0.351701764106874	0.916484217327207	1.03151469297039
LUAD	-0.139926041603572	0.869422534117503	0.0442092043932503	-3.16508843631067	0.00155035821153311	0.797259952207579	0.948116785169327
LUSC	0.0753375832768726	1.07824808797446	0.0307893603993316	2.44687068194207	0.0144102532047829	1.01510448267009	1.14531948096857
PAAD	-0.063840504391009	0.938154619140884	0.0796339983482061	-0.801673979898149	0.422741571078482	0.802582782850328	1.09662717444502
PCPG	0.300615276002485	1.35068959886381	0.194346185896043	1.5468030649353	0.121910740936942	0.922842914700838	1.97689375235686
PRAD	-0.0924747081008635	0.911672268595938	0.240936438394241	-0.38381370919723	0.701116526406283	0.568529856058671	1.4619220371095
READ	0.0278096368351926	1.02819993439665	0.098254063710081	0.283038032068075	0.777147683109663	0.848093161155442	1.24655539451935
SARC	-0.05306269333037	0.948320557244602	0.0375573758599846	-1.41284347256288	0.157701752843417	0.881021017101406	1.02076098281002
STAD	0.0753515484041102	1.07826314595134	0.0390575107112494	1.92924605362541	0.0537003233568736	0.998800953515655	1.16404715856998
THCA	-0.116119252074588	0.890369038611223	0.142915983666868	-0.812500107372581	0.416504724990171	0.672852303787052	1.17820362723819
THYM	-0.320522979156201	0.725769375549191	0.17332483921758	-1.8492616557621	0.0644200396637969	0.51673070428039	1.01937272571912
UCEC	0.0880920238700795	1.0920886156251	0.04949028591476	1.77998615772407	0.0750782260902498	0.991132397073108	1.2033281808767
