	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.122221860915371	0.884952010458246	0.0589551283469055	-2.07313365846969	0.0381598423477048	0.788382588003259	0.993350275273778
BRCA	-0.0749826934014634	0.927759542551555	0.0870718438602224	-0.861158901399103	0.38915053214228	0.782203477063293	1.10040135851483
CESC	-0.0576339405875464	0.943995442614142	0.0975533673673673	-0.590793963785054	0.554658479935643	0.779708593486261	1.14289800461456
CHOL	0.0112097231754897	1.01127278754675	0.155850720698368	0.0719260271961456	0.942660776981267	0.745088648536052	1.37255164582351
COAD	0.0840204466526882	1.08765113240642	0.105359396377451	0.79746514825962	0.425180935996367	0.8847234438103	1.33712404040084
ESCA	0.0186791426582275	1.01885468915933	0.0924772104798871	0.201986441430238	0.83992732389268	0.849954160927046	1.22131866086723
GBM	0.212680325402233	1.23698915402151	0.1260639270142	1.68708313662382	0.0915873671405407	0.966184536640138	1.58369556657141
HNSC	-0.108386139272224	0.897281054074733	0.0516462815946533	-2.09862425571882	0.0358500364348445	0.81089963176915	0.992864293506877
KICH	-0.623929670301401	0.535834641431127	0.391333986330841	-1.59436617338398	0.110854044211954	0.248843725137545	1.15381154497235
KIRC	-0.401842313937837	0.669086242947302	0.108938217524374	-3.68871754164627	0.000225387267893429	0.540447760538907	0.82834352029683
KIRP	-0.000731040262322101	0.999269226882509	0.193136829931649	-0.00378508988979893	0.996979942427027	0.68435925610731	1.45908596820059
LIHC	-0.196314672265556	0.821753610918982	0.0663921182006424	-2.9568972580793	0.00310751644274367	0.72148706215785	0.935954409270675
LUAD	-0.0244760398222562	0.975821069484576	0.0715862659837884	-0.341909715304876	0.732418838039185	0.848078104610408	1.12280549924993
LUSC	0.0665024232663958	1.06876355397084	0.0626371523615628	1.06170891809579	0.288367849499138	0.945289414679087	1.2083659422804
PAAD	0.265702255922051	1.30434663937756	0.128862502846622	2.06190513184663	0.0392167688659236	1.01322305283141	1.6791171015121
PCPG	0.549821167892569	1.73294308429136	0.57307627482913	0.959420572866161	0.337346915157585	0.563612854617436	5.32828821910329
PRAD	-0.286433846906487	0.750936753677279	0.478705904953712	-0.598350352361296	0.549606185629258	0.293851664994391	1.91901586820729
READ	0.126755866578661	1.1351398583736	0.222064537959507	0.570806431965173	0.568130862469816	0.734560711359799	1.75416746109811
SARC	-0.31050238731692	0.733078574318795	0.0932042492918739	-3.33141878912158	0.000864045069543086	0.610681727896045	0.880007001317646
STAD	0.136698040387175	1.1464819050151	0.0758592523213944	1.8019956195722	0.0715460947489775	0.988088152479633	1.3302666925299
THCA	-0.141465294379893	0.868085302500831	0.324193453219742	-0.436360737624169	0.662575020655017	0.459841788494698	1.63876383415434
THYM	0.159073229401047	1.17242379942981	0.459265413737532	0.346364486945573	0.729068810566085	0.476603466537967	2.88411155599501
UCEC	-0.17567546466185	0.838890188675611	0.103477012313262	-1.69772455480275	0.0895597610785395	0.684897092437616	1.02750728018356
