	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0304138743683483	0.970043974119604	0.124769616683237	-0.243760261326781	0.807416498914158	0.759604155487972	1.23878378616987
BRCA	-0.0573087953337538	0.944302428156651	0.166439745236193	-0.344321575669487	0.730604460154575	0.681455244810945	1.3085335869268
CESC	-0.175203705135527	0.839286036478803	0.174763623966633	-1.00251815085374	0.316093404644861	0.595869191164305	1.18214041181073
CHOL	-0.280982019438357	0.755041911435788	0.458016681869436	-0.613475514235647	0.539561968290664	0.307685161966255	1.85282996547988
COAD	0.090956705495871	1.09522158715647	0.209523116664272	0.434112984495238	0.664206396967474	0.726366146626588	1.65138522843382
ESCA	0.0682013973214747	1.07058089889384	0.183539262805001	0.371590232406755	0.710197962591165	0.74712038600362	1.53408136432619
GBM	0.0606707337735857	1.06254899508409	0.290996798620937	0.208492787759557	0.834844213445178	0.60069226662964	1.87951540193594
HNSC	0.101953140624721	1.10733158164603	0.106250303417944	0.959556230382514	0.337278606733506	0.899160591105294	1.36369770187928
KICH	-1.44843873758619	0.234936799904102	0.782130163231591	-1.8519151998966	0.0640380009193154	0.0507224995487992	1.08818178205271
KIRC	0.421133599931668	1.52368782940114	0.164693769660909	2.55707062142513	0.0105557784935745	1.10333757256582	2.10418339698721
KIRP	0.397399108247311	1.48794966454396	0.239770909863799	1.65741168715192	0.0974362701487621	0.930025531834555	2.38057357398479
LIHC	0.484285533226612	1.62301500420797	0.170535654987476	2.83979050165303	0.00451431703419497	1.161882798389	2.26716301122333
LUAD	0.237165778447796	1.26765124961364	0.134384370606908	1.76483156022316	0.0775920787700152	0.974118082559914	1.64963541835104
LUSC	-0.18398046338755	0.831952057192822	0.120012757794447	-1.53300754660321	0.125273995506179	0.657571913773979	1.05257571220609
PAAD	0.065967931097433	1.06819246085677	0.242494117864356	0.272039304204209	0.785591798171355	0.664107127196603	1.71814920620998
PCPG	-0.759974723856452	0.467678247963044	1.11774909881301	-0.679915308957532	0.496558087618025	0.0523018936409883	4.18193163557605
PRAD	1.0954251437498	2.99045378590972	0.513842432960204	2.13183083662271	0.0330207556391895	1.09232940134544	8.18692038742775
READ	0.390768211362947	1.47811586324213	0.505151319091837	0.773566645466692	0.439187103014179	0.549190347503996	3.97826821811014
SARC	0.067274561867719	1.06958910624592	0.172406410959458	0.390209166198228	0.696381884169411	0.762894296252359	1.49957977379021
STAD	-0.101809705097408	0.903201409940808	0.149161576846257	-0.682546452310198	0.494893480345963	0.674245478069227	1.20990472083716
THCA	-1.35720813118311	0.257378341380034	0.867475135615656	-1.56454989366339	0.117688485429274	0.0470084383289327	1.4091855200126
THYM	-3.22460550659092	0.0397714680639305	1.04125010673706	-3.09685971288473	0.00195582408470682	0.00516723156420615	0.306115499626008
UCEC	0.531506546326507	1.70149375783356	0.208772454971593	2.54586528859291	0.0109007246030026	1.13011574153721	2.5617562003062
