	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0465571599993899	1.04765796148552	0.0213806031597039	2.17754193610105	0.0294401564269127	1.00466278494601	1.09249314368002
BRCA	-0.0203534603568964	0.979852273156826	0.0323504943837171	-0.629154538273173	0.52924788833186	0.919652622729924	1.04399253966196
CESC	0.00940942720066457	1.0094538350356	0.0282702532646367	0.332838447274713	0.739256234554844	0.955042677486995	1.06696493160847
CHOL	0.0825624671522755	1.08606651480247	0.116132676197302	0.710932270362968	0.47712620752518	0.864976105939868	1.36366827531439
COAD	-0.017257564810768	0.982890494025714	0.0238335206515016	-0.72408793745211	0.469011749620418	0.938032758405487	1.02989337482018
ESCA	-0.0649599473493709	0.937104996164769	0.0424292856801302	-1.53101675665947	0.12576525134514	0.862327785350341	1.01836655243597
GBM	0.0995072404927112	1.10462646875089	0.0562540877570613	1.76888906140373	0.0769123899918529	0.989308815848558	1.23338599223789
HNSC	-0.0148799629321318	0.985230196649287	0.016013751106798	-0.929199088514313	0.352785919728123	0.954787631752356	1.01664339598542
KICH	-0.2275728969667	0.796464359545352	0.173078937280785	-1.31485032518722	0.188560210248401	0.567337235463956	1.11812769614394
KIRC	-0.111283703743591	0.894684887468101	0.024994548741937	-4.45231897933306	8.49478467007957e-06	0.851911935923088	0.939605391250294
KIRP	0.125294271942905	1.13348195593157	0.079492592237691	1.57617544498061	0.114985375807695	0.969952336926944	1.32458193615263
LIHC	-0.00220792740580163	0.997794508272983	0.0209050340732981	-0.105617020190453	0.915886220125064	0.95773798425529	1.03952636013896
LUAD	0.00814386414105326	1.00817711560647	0.0354191377587856	0.229928356712558	0.81814744110485	0.940563260168159	1.08065149839137
LUSC	0.0128635112067079	1.01294660206481	0.0289987254773976	0.443588847266205	0.657339870511884	0.956979846943115	1.0721864435413
PAAD	0.0207101084728174	1.02092605092351	0.0784724775001754	0.263915568012634	0.791844979284487	0.875383571540028	1.19066662357007
PCPG	-0.0443901590582174	0.956580666044493	0.109644464739638	-0.404855449507883	0.685583767265351	0.771599719830921	1.18590837597847
PRAD	0.0327287380230008	1.03327021430117	0.12813709947977	0.255419688410912	0.798398965829316	0.80379150783859	1.32826401541976
READ	0.156782111885997	1.1697407135341	0.109307186562885	1.43432574578067	0.151479326547424	0.944163397702418	1.44921243529345
SARC	-0.0140496198317834	0.986048615482523	0.0175212738586162	-0.801860637825397	0.422633577592134	0.952761484203528	1.02049871685126
STAD	0.0481978484469099	1.0493782526449	0.0373514633548413	1.29038715268066	0.196916270513436	0.975300476439746	1.12908251736314
THCA	0.187922824262021	1.20674038067636	0.121976115055761	1.54065264479126	0.123401347874959	0.950139970168239	1.53263981316044
THYM	-0.00578128122512801	0.994235398222835	0.0829672328040972	-0.0696814999094741	0.944447166918107	0.845020772220105	1.16979849439943
UCEC	0.00635720048887971	1.00637745037603	0.0328218241718695	0.193688213537146	0.846420021313057	0.943675999334057	1.07324502619551
