	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0804479667143815	1.0837724529335	0.128602229169572	0.625556549321588	0.531605846109378	0.842309486769897	1.39445506454133
BRCA	0.113807492484762	1.12053639244312	0.122937530430363	0.925734330975747	0.354584061862562	0.88060541231935	1.42583930239813
CESC	0.00794123134538621	1.00797284655551	0.223130871231638	0.0355900163054632	0.971609269114016	0.650907822755957	1.56091112116524
CHOL	0.426826816372968	1.53238725435985	0.243793886759407	1.75076915195249	0.0799856822862947	0.950278270154919	2.47107691617709
COAD	-0.0269812403744329	0.973379501588045	0.18207968495788	-0.148183694302165	0.882197799808106	0.681233015148038	1.39081288346822
ESCA	-0.166637200432709	0.846506667886647	0.234807853557167	-0.709674731523149	0.477905865142385	0.534270968704088	1.34121743600378
GBM	0.0509392541739249	1.05225897100128	0.0607481094175029	0.838532337259012	0.401731794016254	0.934143836183838	1.18530883485353
HNSC	0.14702812581574	1.15838654313815	0.107693629434193	1.36524441221087	0.172176243807549	0.937960436684967	1.43061405453953
KICH	-0.187640367239138	0.828912757818698	0.553784306626301	-0.338832944512745	0.734735581642386	0.279979844192653	2.45409222958855
KIRC	0.53428509530559	1.70622801571517	0.11965768394632	4.46511312675312	8.00264557786567e-06	1.34953534497634	2.15719732902763
KIRP	0.159084110537038	1.17243655680202	0.235210011511461	0.676349231543178	0.498818942258715	0.739397923509613	1.85909026252209
LIHC	0.215378236698062	1.24033094693639	0.111893617507588	1.92484827549218	0.0542483424728289	0.996078485582305	1.54447754890395
LUAD	0.0313039890190333	1.03179911181726	0.0891467920775351	0.351151043010126	0.725475036263796	0.866389664347303	1.22878821269056
LUSC	-0.163291856303563	0.849343266051412	0.129671118962041	-1.2592769894379	0.207930301571041	0.658729315457752	1.09511443723374
PAAD	0.0760540339991	1.07902087639518	0.193834564127144	0.392365697735998	0.694788027404299	0.737968062805683	1.57769165141121
PCPG	-1.37533515331486	0.25275486997495	0.748220267723815	-1.83814207211842	0.066041473062872	0.0583194320082646	1.09543289596855
PRAD	0.0472438822502038	1.04837765860664	0.567258203785769	0.0832846170137471	0.933625231641392	0.344878958960072	3.18690278577648
READ	0.194910561358798	1.21520229558712	0.449431977029446	0.433682006000273	0.664519375097529	0.503606571867972	2.93228226494897
SARC	0.094269378457668	1.09885571410912	0.0502391049462349	1.87641437001224	0.0605984028813908	0.995811339161063	1.21256289514391
STAD	0.130376554796554	1.13925729536419	0.127613447191517	1.02165216649066	0.306945558034766	0.887149996425429	1.46300759766686
THCA	0.407662733512114	1.50330006292883	0.440027673858081	0.926447943461834	0.354213238319034	0.634590316320543	3.56121267703101
THYM	0.137015725721695	1.1468461833625	0.535243493878275	0.255987652888417	0.797960371315124	0.401703009699434	3.27420043299463
UCEC	0.00524520207758194	1.0052589822327	0.186701501218454	0.0280940541096383	0.977587136336437	0.697199964558621	1.44943441297974
