	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0713921584096162	0.931096683127928	0.159681082507768	-0.447092149479529	0.65480852705897	0.680885359007115	1.27325550749986
BRCA	-0.103965174143557	0.901256683910563	0.14501108739206	-0.716946379847988	0.47340718259674	0.678289098612197	1.19751830297049
CESC	0.197596395254035	1.21847051408352	0.202586430916337	0.975368361840762	0.329377571505369	0.819168307074484	1.81241190713688
CHOL	-0.092892199071114	0.911291733096566	0.493204553652064	-0.188344163457675	0.850606867355705	0.346609892264711	2.39592879875429
COAD	-0.136378155525244	0.872512624625656	0.191197344592054	-0.713284778176318	0.475669554766912	0.599824560994414	1.26916823624073
ESCA	-0.0561116784457882	0.945433545445466	0.24899975967274	-0.225348323707363	0.821708309392412	0.580339362052191	1.54021017235981
GBM	-0.70189566321906	0.49564483698169	0.183172797501712	-3.83187718259585	0.000127169223233155	0.346141458019316	0.709720834459814
HNSC	0.12888481965935	1.13755909217598	0.12985075172486	0.992561213141399	0.32092383461379	0.881951708195772	1.46724664873032
KICH	-1.40830228743902	0.244558120309413	1.03849097900764	-1.3561044976864	0.175065922042117	0.0319460350463987	1.8721783195444
KIRC	-0.215806776845143	0.805891003632595	0.19758122567875	-1.09224333488054	0.274726159633911	0.54713546128009	1.18701922228996
KIRP	0.54287642319624	1.7209499298973	0.372124433068419	1.45885723955252	0.144604404381545	0.829880085952295	3.56879109566171
LIHC	0.237202009530806	1.26769717882332	0.168839832009438	1.40489365991283	0.16005290217252	0.910539516057607	1.76494936118175
LUAD	-0.0537883689977768	0.947632633726176	0.151995067071616	-0.353882333381471	0.723427067349603	0.703495902927686	1.27649301831843
LUSC	0.068459440453953	1.07085719058861	0.128908102989019	0.531071661645542	0.595369120901347	0.831772927807218	1.3786636764657
PAAD	-0.0130031825427642	0.987080993587815	0.281529876377127	-0.0461875759336663	0.963160744876148	0.568478604892371	1.71392358396105
PCPG	0.460856264959918	1.58543095292088	1.0247526578288	0.449724390992418	0.65290918185408	0.212753292136508	11.814582426611
PRAD	-0.333562170774896	0.716367360141592	0.769232165832345	-0.433630034716458	0.664557120784131	0.158622278239086	3.2352466524452
READ	0.49902886578295	1.64712091826405	0.485498568908634	1.02786887076667	0.304011514331753	0.636016454689298	4.2656244180166
SARC	-0.0551901327690885	0.94630520721826	0.123241602535649	-0.447820635512463	0.654282649466792	0.743237797397865	1.20485468896171
STAD	-0.0577312647107614	0.943903573555981	0.12861651872714	-0.448863530766513	0.653530105575829	0.733582649689997	1.21452430281476
THCA	0.28343186200876	1.32767841189173	0.681568709727613	0.415852221446657	0.677518143171347	0.349092530325896	5.04946342953184
THYM	0.45793419971947	1.58080498222786	0.405570549655783	1.12911107600916	0.258850979499836	0.713930635304042	3.50026216590664
UCEC	-0.171828525537186	0.842123563474191	0.169944635065314	-1.01108531888134	0.311975596374623	0.603557545752392	1.17498671195374
