	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.16293653076996	0.849645113024427	0.120393084645142	-1.35337117783977	0.175937080436031	0.671056031744063	1.07576235655031
BRCA	-0.0615109292546527	0.940342668438783	0.167596928724384	-0.367017043348141	0.713606305056224	0.677060345456751	1.30600520325858
CESC	-0.093971042141737	0.910309122461641	0.159637027602561	-0.588654421552442	0.556093118731611	0.665741470097027	1.24472146570066
CHOL	-0.333488357128088	0.716420239780494	0.337663075990017	-0.987636436558277	0.323330734814223	0.369614087290484	1.38863202896205
COAD	-0.000685738113083012	0.999314496951563	0.156508927895624	-0.00438146323218272	0.99650410931855	0.735328750595358	1.35807210449614
ESCA	-0.132822253457747	0.875620716832226	0.180442508935067	-0.736091812520427	0.461674825108671	0.614784750116434	1.24712208557641
GBM	-0.373194325866354	0.688531420377989	0.174086885352276	-2.14372452646947	0.0320549657974348	0.489486522132977	0.968515976255909
HNSC	-0.099060044942767	0.905688324387231	0.0995366891524214	-0.995211371668949	0.319633472196441	0.745165922360547	1.10079019493119
KICH	0.558624821383641	1.74826666751349	0.556540283337405	1.00374552949471	0.315501285489061	0.587326679618952	5.20398007923236
KIRC	0.127114314304323	1.13554681960695	0.157961866247988	0.804715196924572	0.420984047940125	0.833196929766018	1.54761321537944
KIRP	-0.281989397688056	0.754281681620377	0.242579770141066	-1.16246048680841	0.245048465928722	0.468866588475551	1.2134386821588
LIHC	-0.100519475865706	0.904367498901294	0.142892247885696	-0.70346346532469	0.481766967273111	0.683462741671541	1.19667177623859
LUAD	-0.0955165382207722	0.908903329885442	0.118231606370627	-0.807876515873015	0.419161671607138	0.720906213485566	1.14592612412458
LUSC	0.188389636208897	1.20730383300574	0.0990921081199123	1.90115681039831	0.0572814762647346	0.994189619078394	1.4661011513493
PAAD	0.375688872068049	1.45599406287152	0.22403035140239	1.67695524162821	0.093551234528865	0.938565579820137	2.25867936849269
PCPG	-0.919359778758898	0.39877426313017	0.777387325360373	-1.18262769248612	0.236956732450126	0.0868988101913893	1.82995500841469
PRAD	0.893833562823489	2.44448279025972	0.724648894888821	1.23347122879505	0.217400004536658	0.590696947313762	10.1160098068053
READ	-0.58488770278057	0.557168426764253	0.342889192205243	-1.70576301638132	0.088052211533298	0.284523857811764	1.09107425356341
SARC	-0.00444593452378117	0.995563934012741	0.132004202386614	-0.0336802498965897	0.973132128335918	0.768611670389494	1.28952966093354
STAD	0.150382221091883	1.16227840515984	0.148878097075696	1.01010305777499	0.312445917405942	0.868130276662257	1.55609259049776
THCA	0.636251024954072	1.88938433051724	0.417835910790433	1.52272939812774	0.127826419825075	0.833024428226978	4.28531628538436
THYM	0.211926794429754	1.23605739547988	0.475235172194266	0.445940887437353	0.655639946283902	0.48698740081156	3.13732528269597
UCEC	-0.0507120689650468	0.950552324648393	0.161118737073456	-0.314749667767856	0.752951729967075	0.693156835971997	1.30352854506216
