	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.114144927528044	1.12091456448986	0.0408106665224282	2.7969385764703	0.00515893399998694	1.03474755728129	1.2142569963506
BRCA	0.0311668678493271	1.03165764001576	0.0642335659027214	0.485211546507131	0.627526292342541	0.909619764574051	1.17006855793341
CESC	0.0474407804177849	1.04858410257011	0.0706112900971975	0.67185828714476	0.501673917762752	0.91305897559904	1.20422519196132
CHOL	-0.048718190165841	0.952449501517887	0.149889244462646	-0.325027925389151	0.745159936747204	0.709996164564963	1.2776971175577
COAD	0.0241736861254968	1.02446823835803	0.0781410221467726	0.309359737835158	0.757047893743118	0.878991630465226	1.19402180297089
ESCA	-0.0830631572246105	0.920293022231525	0.0821255569707152	-1.01141666843404	0.311817046655419	0.783467035783856	1.0810145265661
GBM	-0.100460419126092	0.904420909474304	0.156690712723355	-0.641138312412046	0.521432824228921	0.665265830709234	1.22954936769004
HNSC	0.0202481569436667	1.02045454148877	0.0410343404857074	0.493444190987286	0.621698764305671	0.941597222753386	1.10591603934435
KICH	0.489442883005012	1.63140708211963	0.221590043388469	2.20877651143815	0.0271901895766781	1.05668260069656	2.51872138884055
KIRC	0.16556977062439	1.18006529373965	0.0723963840513551	2.28698950636736	0.0221964356013291	1.02395795404646	1.35997195195933
KIRP	0.286117004653536	1.33124820837558	0.0748278974746853	3.82366756663623	0.000131481162431171	1.14964939337403	1.54153240328517
LIHC	0.0301755153567526	1.0306354104215	0.0473484576065476	0.637307251009159	0.523924728777004	0.939294933153373	1.13085817001979
LUAD	0.0106334648821478	1.01069020109235	0.0590333081174259	0.180126528924929	0.857053236156501	0.900261778531137	1.13466405765973
LUSC	0.0131062299384007	1.0131924930193	0.049887491321303	0.262715754816962	0.79276967264106	0.918814105375911	1.11726520294403
PAAD	0.214006691108276	1.23863094257948	0.0807541997067955	2.6500998323963	0.00804679894446073	1.05731361739934	1.45104213798833
PCPG	0.0631979242783986	1.065237654762	0.265753136617749	0.23780688003431	0.812030882238506	0.632757104105072	1.79331255826474
PRAD	-0.0986322760593097	0.906075832546572	0.280087154990714	-0.352148516280869	0.724726885001823	0.523303847959709	1.56882739831902
READ	-0.036373372488139	0.96428019056703	0.168002318867268	-0.216505181198577	0.828593986921843	0.693744274598042	1.34031561768022
SARC	0.0948467475072726	1.09949034257822	0.068144402408336	1.39184942790943	0.163967998671261	0.962025975654544	1.2565970608021
STAD	0.190471927910604	1.20982041097405	0.0688359445454424	2.76704168393975	0.00565675217578447	1.05712816782727	1.38456761569196
THCA	-0.0354587720180677	0.965162525112893	0.115429545983589	-0.307189738259119	0.75869895585487	0.769744586582673	1.21019194693907
THYM	-0.132534546043337	0.87587267564814	0.147978094972307	-0.895636249866172	0.370447068558322	0.65536281367702	1.17057746936052
UCEC	-0.0617363655008722	0.940130705010468	0.072772905261769	-0.848342735236451	0.396247124210101	0.815161815466575	1.08425802795681
