	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.145162233616876	1.15622713396291	0.0438191098070793	3.31276089943351	0.000923799188434595	1.06107055558703	1.25991733374647
BRCA	-0.0142200390657012	0.985880588150818	0.0560037541574064	-0.253912247127822	0.799563352959689	0.883392755802048	1.10025866491303
CESC	0.17736128135284	1.19406240769152	0.0903920937853055	1.96213268136148	0.0497470389192273	1.00019605226221	1.42550555987226
CHOL	-0.0368196375978788	0.963849961967114	0.146298109329915	-0.251675416493917	0.801291960267438	0.723569509998174	1.2839219126112
COAD	0.0705908454126057	1.07314205503536	0.14373712281697	0.491110744595142	0.623348122494548	0.809669824452178	1.42234999441249
ESCA	-0.0551573293215221	0.946336249800655	0.116362036000155	-0.474014818041245	0.635489340472005	0.753351975802533	1.18875681812974
GBM	0.0515817258746132	1.05293523482887	0.0697932216693478	0.739064978530246	0.459867541559739	0.918318980906486	1.20728486701836
HNSC	0.140901375111648	1.15131109445709	0.0621524942407307	2.26702688014266	0.0233885837074875	1.0192680022883	1.30045997053192
KICH	0.491857531974942	1.63535111736401	0.707334843020773	0.695367316947649	0.48682513721914	0.408814698560552	6.54177378279269
KIRC	0.127468980692092	1.13594963132327	0.0975941061380226	1.30611351173009	0.191513958713246	0.938181405666311	1.3754073115391
KIRP	0.235916110977408	1.26606809649671	0.184666072413764	1.27752817771968	0.201415838911652	0.88159479898392	1.81821447541916
LIHC	-0.0345790639564856	0.966011959939524	0.0498080954582316	-0.694245857794003	0.487528038499303	0.87616474803689	1.06507264625409
LUAD	0.0887783459243551	1.09283839739368	0.0609411789985896	1.45678746921535	0.145175055927789	0.969801206647824	1.23148512770585
LUSC	-0.00681461781608662	0.993208549037614	0.0693232628956829	-0.0983020350086695	0.921692462307062	0.867026518310759	1.13775438357219
PAAD	0.764239156884231	2.14735994892906	0.155612754345991	4.91116014298555	9.05391042344258e-07	1.58287650221616	2.9131487793322
PCPG	-0.341387944278223	0.710783110472027	0.442884044664479	-0.770829178406851	0.44080818979363	0.298368875371484	1.69324843116855
PRAD	-0.326685374927764	0.721310649744745	0.218308394916809	-1.49643981878138	0.134539079626073	0.470216540228883	1.10648820048297
READ	0.0289963224271252	1.02942080869813	0.345627987405662	0.0838946019527416	0.933140231449184	0.522870170896637	2.02671190740042
SARC	0.0914364786597072	1.09574717115291	0.0589590012982054	1.55084849889563	0.12093799488154	0.976167546848418	1.22997518916294
STAD	0.0477502888910292	1.04890869846476	0.0703815569029808	0.678448886216764	0.497487121902218	0.91375296064935	1.20405569677518
THCA	0.0656851267843645	1.06789041413372	0.304926271648423	0.215413143738886	0.829445223320726	0.58745279590557	1.94124522778167
THYM	-0.65265865815961	0.520659678893608	0.216566498200389	-3.01366399504556	0.0025811349760839	0.340574563532875	0.795968138117949
UCEC	0.153537608274638	1.1659516357269	0.0778578421679121	1.97202496241177	0.0486067569625109	1.00093948274923	1.35816724215966
