	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.236264697640568	0.789571648517334	0.119098777779741	-1.98377096763757	0.0472813780241092	0.625193540306431	0.997168633311243
BRCA	-0.0798830064800418	0.923224351335147	0.108827116470812	-0.734035864135636	0.462926880339506	0.745887693286218	1.14272324180999
CESC	-0.061757889894352	0.94011046948503	0.242868367889235	-0.254285440426387	0.799275047067294	0.584048562911207	1.51324350569411
CHOL	0.22969364602	1.25821449186272	0.25948477215444	0.885191235358088	0.376053498669265	0.756625274527057	2.09232199984717
COAD	-0.0397573259177297	0.961022626140799	0.179622488462786	-0.221338242543982	0.824829075069531	0.675831878632323	1.36655952042921
ESCA	-0.0374797084216331	0.96321396265413	0.223412754909456	-0.167759931329	0.866772145843036	0.62166080676562	1.49242340478071
GBM	-0.11608447062906	0.890400007472007	0.138608474112843	-0.837499087787045	0.402312089488799	0.678580550781426	1.16833907543206
HNSC	0.0601209282277909	1.06196496032141	0.0946261867692142	0.635351907125045	0.525198926780369	0.882194267021698	1.27836874383441
KICH	1.24143163370057	3.46056418041507	0.365981640522186	3.39205986379338	0.000693692823689585	1.68897324889842	7.09040504613229
KIRC	0.686375052391058	1.98650150203005	0.102655665834361	6.6861877209832	2.29059168835335e-11	1.62445706246528	2.42923516339601
KIRP	0.122022000368609	1.12977895706041	0.189590496016453	0.64360821313543	0.519829523033896	0.779136874125643	1.63822369881915
LIHC	0.0653064993790364	1.06748615809308	0.0859838377700058	0.759520638677721	0.44754117280839	0.901929676522647	1.26343186989225
LUAD	0.00645970213178517	1.00648061100505	0.0800663374150137	0.0806793758818032	0.935696939000662	0.860305744912594	1.17749210245251
LUSC	-0.364567651120901	0.694496850912758	0.0937808641975517	-3.88744179572637	0.000101306269040443	0.577888250413407	0.834635200806893
PAAD	0.355650650950672	1.42710890202991	0.137295391482273	2.59040487164927	0.00958631124024624	1.09041311432174	1.86776900562119
PCPG	-0.4489825071911	0.638277263858315	0.589675687046962	-0.761405832144039	0.446414705039236	0.200944683279948	2.02741301192272
PRAD	0.297548741827116	1.34655400725588	0.620064487363723	0.479867413617217	0.631321673576046	0.399414592945624	4.53966311316949
READ	-0.479483256822474	0.619103226531312	0.403873035235345	-1.18721284906547	0.23514367388758	0.280534137190457	1.3662822248305
SARC	0.0874562662883096	1.09139453266538	0.127477285850501	0.686053720902673	0.492679232824579	0.850105667238793	1.40116937439178
STAD	-0.143287684101483	0.866504753393745	0.113219853661842	-1.26557029944099	0.205666965046165	0.694061629146309	1.08179224455539
THCA	-0.670647833483646	0.511377183191831	0.42006977240084	-1.59651533518032	0.110373784738518	0.224479821368934	1.16494490192695
THYM	-1.34352990690476	0.260923007159333	0.41045535004839	-3.27326688943478	0.00106312042442109	0.116716470966518	0.583300840929292
UCEC	0.18769927620231	1.2064706463561	0.153665079907742	1.22148295705831	0.221903214606571	0.892723170060025	1.63048464444025
