	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.333434256513728	0.716458999604062	0.163865557658777	-2.03480378230579	0.041870620354554	0.519647361804032	0.98781122708217
BRCA	-0.0321349872507141	0.968375854861837	0.155186613700683	-0.207073190685729	0.835952699048246	0.71441220808089	1.31262006118072
CESC	-0.10672024590074	0.898777074394262	0.266387683933853	-0.400620044908832	0.688699885386208	0.53321502490335	1.51496149157299
CHOL	-0.651226734769613	0.521405757702412	0.593842318461024	-1.09663241322596	0.272802112332285	0.16281571648803	1.66976487300729
COAD	-0.699734556296824	0.496717136729729	0.321250445631966	-2.17815902144603	0.0293941997250383	0.264642913012752	0.932305010975644
ESCA	-0.25043280764354	0.778463785072612	0.331950655758108	-0.754427814193054	0.450592375327263	0.406145366631199	1.4920910453716
GBM	-0.277486267855085	0.757685969185064	0.277769768863383	-0.998979366943142	0.317804686562271	0.439593426108691	1.30595225907215
HNSC	0.0445342690379593	1.0455408057741	0.161355110965047	0.276001601508652	0.782546836168746	0.762070706304047	1.4344542671643
KICH	-1.15485923957299	0.315101887658183	0.927962366666566	-1.24451085632005	0.213311606298983	0.0511173117549928	1.94237913139187
KIRC	0.184373937066805	1.20246538541621	0.159385852391946	1.15677730676754	0.247363355675413	0.879838779624058	1.64339539994132
KIRP	-0.504710307880581	0.603680431562266	0.27205393719792	-1.85518472211414	0.0635698526101647	0.354188427409828	1.02891578394098
LIHC	-0.263379902116436	0.768449906104929	0.188173016747583	-1.39966880835916	0.161612518431938	0.531425511985187	1.11119102277712
LUAD	-0.397511711698965	0.671990072456066	0.189002869241616	-2.10320464072319	0.035447884804305	0.463962973520444	0.973290290932259
LUSC	0.00568470916987574	1.00570089779038	0.167718347205868	0.0338943786686495	0.972961375786885	0.723946915150285	1.39711113432455
PAAD	-0.69068667767764	0.501231766201864	0.225928181949444	-3.05710722636716	0.00223484315491979	0.321905331765987	0.780457043291463
PCPG	2.45219098478887	11.6137644453711	1.08889709170681	2.25199516415748	0.0243225776146439	1.3743651318116	98.1395129071537
PRAD	0.745710544948131	2.10793868817074	0.846711206007068	0.880714155732936	0.378472553012359	0.400992352017825	11.0810230936511
READ	-0.524273657806719	0.591985192069718	0.530042596609498	-0.989116084556824	0.322606348865512	0.209477685706531	1.67295369169191
SARC	-0.415752088192992	0.659843833286029	0.212961821273156	-1.95223766263591	0.0509099946030105	0.434678071249596	1.00164676601685
STAD	-0.0170079587294599	0.98313586009144	0.208960651499077	-0.081393116873657	0.935129322889454	0.652748538852891	1.48074803981379
THCA	-0.583839843873253	0.55775256665776	0.638955202457703	-0.913741435436393	0.360852725983706	0.15942701807117	1.95128736256263
THYM	-0.707205667278547	0.493019936169907	0.826615536103603	-0.855543643193648	0.392250254111962	0.0975546693239763	2.49161479553331
UCEC	-0.264702072804473	0.767434555545141	0.216186348864848	-1.22441622329241	0.22079525233946	0.502369421500215	1.1723559831448
