	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.00713581264897357	1.00716133322729	0.0177571923308704	0.40185478177021	0.687790902722855	0.972711598855859	1.04283114577983
BRCA	0.0212633478303704	1.0214910236642	0.0192710132924731	1.10338504300007	0.2698599892117	0.983628352158911	1.06081113780051
CESC	0.0124163419666726	1.01249374476204	0.0269740653419275	0.460306661575891	0.645296120304213	0.960355400073931	1.06746271547319
CHOL	0.0368146632043923	1.03750071595999	0.0529808547380551	0.694867294731451	0.487138470411714	0.935170976398611	1.15102774014949
COAD	0.00873768758083392	1.00877597259923	0.0204836289229769	0.426569316095777	0.669693050711869	0.969078666332474	1.05009943800001
ESCA	0.0275609166211437	1.02794423208937	0.0307029613534554	0.897663137567084	0.369365167490722	0.967910376889012	1.09170163841209
GBM	0.00864910312463192	1.00868661468619	0.0274874344794139	0.314656616320795	0.753022387317777	0.955782140427995	1.06451945857816
HNSC	0.0206668575236711	1.02088189585768	0.0181091716239218	1.14123704567307	0.253771291982862	0.985282904212585	1.05776710509645
KICH	-0.144393384435397	0.865547188286167	0.0962178357699996	-1.50069249926341	0.133435114006858	0.71678676807042	1.04518103363829
KIRC	-0.0149352407657891	0.985175736763589	0.0173686025911191	-0.859898813818549	0.38984482244641	0.952202957457377	1.01929029384592
KIRP	0.0639225474211036	1.06600983035349	0.0343260820523286	1.86221507376392	0.0625727805421045	0.996650285721193	1.14019629020421
LIHC	0.00281663397213914	1.00282060441249	0.0198948514378994	0.141576024376512	0.887414905921466	0.964469993244126	1.04269616647335
LUAD	0.0284395637596782	1.02884782926087	0.0155665103881861	1.82697104556342	0.067704122955476	0.997931905494312	1.06072152813921
LUSC	0.0161636774742933	1.01629501639483	0.0152220954774953	1.06185626664805	0.288300941508955	0.986421943403711	1.04707277373111
PAAD	-0.0670802994788917	0.935120108664439	0.0273829152406356	-2.44971358562094	0.0142969888653387	0.886255648969786	0.986678751943733
PCPG	-0.0522208884946843	0.949119194176525	0.124768070051773	-0.4185436904892	0.67554964975313	0.743221017447504	1.2120583562721
PRAD	-0.0862021058746896	0.917408798774565	0.131573750301102	-0.655161882042725	0.512363533327984	0.708870856547161	1.18729511348305
READ	-0.0173820455584141	0.982768150697016	0.0401960564249915	-0.432431614052741	0.665427745141728	0.908314251340647	1.06332498537691
SARC	0.0131941480724557	1.01328157492862	0.0193178430453019	0.683003171809315	0.494604838296955	0.975633643253438	1.05238227196221
STAD	0.00157340364615721	1.00157464209512	0.0195514994828353	0.0804748325077848	0.93585961205122	0.963920138981044	1.04070007785955
THCA	0.0741472554011054	1.07696538278967	0.0587258256324948	1.26260047606853	0.206732796725336	0.959874005119322	1.20834029210232
THYM	0.00554382001573519	1.00555921542256	0.0985015737964765	0.0562815374624349	0.95511752648995	0.829016088394115	1.21969808532899
UCEC	0.0306036855044607	1.03107679222392	0.0207639821404368	1.47388325117375	0.140513028040227	0.989957791445007	1.07390371655237
