	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0918192458991549	0.912270031192341	0.0953776867159887	-0.962691055535557	0.335702586724247	0.756724463364134	1.09978816610717
BRCA	-0.00348529797131774	0.996520768629639	0.10413336188247	-0.0334695616113059	0.973300138542092	0.81254584898524	1.22215090206958
CESC	-0.0797436499148614	0.923353017674681	0.158108185644219	-0.504361299131617	0.614007508636053	0.677307432272294	1.25877962447367
CHOL	-0.963667200602096	0.381491312449503	0.471653893065132	-2.04316600535092	0.0410360076974522	0.151360352593638	0.961517458043774
COAD	-0.0251632375862778	0.975150717786016	0.149460640219404	-0.168360295722934	0.86629984161637	0.727529515574824	1.30705201925348
ESCA	-0.0313870326404855	0.969100426986666	0.153714041584705	-0.204191057088233	0.838204199548669	0.71701320748959	1.30981637126869
GBM	0.100585896193274	1.10581862323493	0.132650806422568	0.758275798737706	0.448285892284393	0.852651044759557	1.43415625302849
HNSC	-0.19690644522134	0.821267463214441	0.097851882522968	-2.01229082307253	0.0441892892423664	0.677942630240869	0.994892806630327
KICH	0.03937708981429	1.04016264444402	0.514533857469342	0.076529637928902	0.938997735452493	0.3794278800303	2.85149928047029
KIRC	0.163900205945461	1.17809674217574	0.10325878768005	1.58727610141338	0.112450125450996	0.962247775110809	1.44236439909177
KIRP	-0.0170772180407188	0.983067771136821	0.229947881554377	-0.0742656028195698	0.94079904639694	0.626399592900871	1.54282067485452
LIHC	-0.191739828465852	0.825521617780415	0.136622832705675	-1.40342448380437	0.160490296192941	0.631589475462669	1.07900142085739
LUAD	0.0564466116259635	1.05807012464871	0.104578213371044	0.5397549815246	0.589366017170648	0.861980250228462	1.29876802673543
LUSC	0.191792901476447	1.21141960777216	0.0886298857471569	2.16397550171274	0.03046622962669	1.01824597783057	1.44124062166348
PAAD	0.559744105599572	1.75022457032012	0.234666568634431	2.38527417372159	0.0170663968297292	1.10495662709375	2.77231338447128
PCPG	-1.49525300519671	0.224191875844837	0.787154007026614	-1.89956856199572	0.0574897611548665	0.0479284258395476	1.04868867095888
PRAD	-0.155124444561171	0.856308607903811	0.782612870045551	-0.198213510790005	0.842878017120966	0.184700906526257	3.97000992448255
READ	-0.158258953117555	0.853628703531228	0.259192112654328	-0.610585528613738	0.541474005503319	0.513622787709753	1.41871034722116
SARC	-0.05716816630523	0.944435233827703	0.130218155196736	-0.439018401227226	0.660648203070619	0.731695335038159	1.21902910703766
STAD	-0.00243060905840292	0.997572342479965	0.122233723754185	-0.0198849301465359	0.984135166770458	0.785052797646678	1.26762248534632
THCA	0.328525839590763	1.38891912896632	0.4861628323825	0.67575268553703	0.499197679456648	0.535617065914827	3.60163346086387
THYM	-0.95716600081528	0.383979543167304	0.525382610719645	-1.82184560601311	0.0684784155975785	0.13712025068346	1.07526268976371
UCEC	-0.210775395437629	0.809955966258138	0.125570488243937	-1.67854245360717	0.0932412499583395	0.633250608036491	1.03597005506444
