	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0993997728845758	0.905380689015991	0.155681875987074	-0.638480055911123	0.523161232714381	0.667289934661312	1.22842283311095
BRCA	-0.344793703839287	0.708366471678954	0.162971536121061	-2.11566824517849	0.034373033128766	0.514678911722444	0.97494388592609
CESC	0.166916110243032	1.18165513238843	0.321077109548443	0.519863002621955	0.603159063615862	0.629780797428169	2.21713468813594
CHOL	-0.0824734893340713	0.9208358495048	0.69122865184238	-0.119314338481556	0.905026324180956	0.237578602580747	3.56908683072598
COAD	0.283454427857531	1.32770837242003	0.21118518240554	1.34220793631824	0.179528583931224	0.877690789164548	2.00846305322655
ESCA	0.182637680643333	1.20037940858615	0.326644405127712	0.559133044302182	0.576070924373658	0.632817258824015	2.27697760208898
GBM	-0.0795092409965439	0.923569485226751	0.186367642409344	-0.426625781002837	0.669651916703061	0.640963280763557	1.33077918757823
HNSC	-0.238981650933843	0.787429330833015	0.159674081569464	-1.49668404906326	0.134475488661245	0.57583328262195	1.07677859159663
KICH	-1.66035058642119	0.190072331640663	1.01336672661612	-1.63844987486959	0.101327882262429	0.0260819213375211	1.38515452093423
KIRC	0.52552696073374	1.69134988856517	0.204078278513324	2.57512443049851	0.0100204030813071	1.13376152164948	2.52316240313704
KIRP	0.399577312276795	1.49119425490599	0.339967453575936	1.17533989819865	0.239858758262036	0.765867077285049	2.90345462263161
LIHC	0.16686607675603	1.18159601154074	0.159315976641217	1.04739072799846	0.294919406318232	0.864687162234376	1.6146523222124
LUAD	0.0341408091938082	1.03473029600947	0.15771290947763	0.21647441104782	0.828617969312063	0.759594292967855	1.40952452564722
LUSC	-0.107950120697116	0.897672370585837	0.132939251181802	-0.812025942206398	0.416776745847935	0.69176687556464	1.16486595900601
PAAD	-0.364839423800136	0.694308131288446	0.304512117247937	-1.19811134971381	0.230873670925503	0.382253145055404	1.26111135358581
PCPG	0.289846905957345	1.33622290459927	1.35142704560695	0.214474696876566	0.830176896839997	0.0945240073073953	18.8892928012375
PRAD	2.59565456691884	13.4053591948828	0.884447090842269	2.93477653303938	0.00333787980684617	2.36829461082157	75.8789275298343
READ	0.142352055847929	1.15298249132178	0.519183347669228	0.274184556355651	0.783942795761032	0.416766733012841	3.189718660327
SARC	0.386550972800009	1.47189542178523	0.203310683421045	1.9012821475765	0.0572650661413058	0.988140243567154	2.19247839239034
STAD	-0.141527646238939	0.868031177455826	0.198279375880824	-0.713778957646129	0.475363873322148	0.588517814423195	1.28029790529592
THCA	-0.892933585665848	0.409452824232098	0.636864720132665	-1.4020773288868	0.160892156224196	0.117517796164163	1.42660618854225
THYM	-1.67614823182746	0.18709322969844	1.26936652718422	-1.32046039968108	0.186681349169935	0.0155443055765585	2.25187779708736
UCEC	-0.103264237952006	0.901888628788838	0.203063485581054	-0.508531790718168	0.611080450198767	0.605766090762747	1.34276763117331
