	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0589851997533524	0.942720721553049	0.10385029991629	-0.567982950467147	0.570046544983111	0.769104792697089	1.15552830678501
BRCA	-0.318398726025048	0.727312732077305	0.108205707235778	-2.94253172183668	0.00325540431653061	0.58832367483488	0.899137384519192
CESC	-0.0676477184404484	0.934589654292616	0.153773861937016	-0.43991688566784	0.659997305619654	0.691398480231167	1.26332042503008
CHOL	-0.626241973314092	0.534597060757621	0.406809857815618	-1.5393972424285	0.123707346843731	0.240851518014256	1.18659836453168
COAD	0.365487703650078	1.44121672343346	0.147365270315152	2.48014815748958	0.013132780171001	1.07967177322059	1.92383064503797
ESCA	-0.0538180677840398	0.947604490605041	0.17349949761388	-0.310191490604837	0.756415341129614	0.674441165183324	1.33140489781753
GBM	0.226009076562678	1.25358704348792	0.159010409857335	1.42134767632795	0.155215709684807	0.917919484316291	1.71200252576761
HNSC	-0.0550339511053083	0.946453014282043	0.100874884742951	-0.545566433563175	0.585364002936126	0.776665834813913	1.15335742618084
KICH	-0.881775457311302	0.414047135691143	0.494134310748715	-1.78448538814322	0.0743448270470443	0.157196146931026	1.09058036040325
KIRC	0.516891398560426	1.67680701476635	0.10957255538684	4.71734365175267	2.38943895342542e-06	1.35274131370561	2.07850661193122
KIRP	0.576919584865661	1.78054515606451	0.216228119145514	2.6681061979613	0.00762801428317541	1.16546512806466	2.72023673333697
LIHC	0.053728585777406	1.0551981674953	0.113064343523898	0.475203623908623	0.634641844357224	0.845460816361326	1.31696602744697
LUAD	0.272940818672686	1.31382248876517	0.111568890113736	2.44638822161305	0.0144295532908687	1.05576942325773	1.63494934969691
LUSC	0.0344648239571653	1.03506561822321	0.0807954904107879	0.42656865849735	0.669693529770286	0.883475756969949	1.212665798213
PAAD	0.178508754492873	1.1954333486404	0.124812500356279	1.43021535489889	0.152655219774279	0.936019236381749	1.5267430790907
PCPG	-0.262934328216461	0.768792383620383	0.516660518085039	-0.508911207674636	0.610814463684197	0.279271644147951	2.11636856622504
PRAD	0.72850246893433	2.07197543562647	0.556456636626172	1.30918102325328	0.190473038760866	0.696190118063595	6.16653712032053
READ	0.337336353004872	1.4012102857757	0.37008264625173	0.91151626919414	0.362023417402253	0.678403995484282	2.89413134066528
SARC	-0.516385369226339	0.596673408792925	0.136936540943412	-3.7709830091278	0.000162605745452654	0.456221857744863	0.78036409417207
STAD	-0.244756748393692	0.782894955536778	0.128497155114554	-1.90476394730679	0.0568107623060064	0.608592390712757	1.00711826299225
THCA	-0.230534614410027	0.794108946913798	0.462226601324159	-0.498748046411879	0.617956892088799	0.320946092625269	1.96484404720524
THYM	1.0028839031567	2.72613240471472	0.38304392389761	2.61819556606457	0.00883961280262407	1.28676537452796	5.77556564324091
UCEC	-0.16877654710629	0.8446976324295	0.133130565399283	-1.26775204927658	0.204886510881517	0.65069929200681	1.09653429625145
