	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0587044576501057	1.06046178305509	0.0701250355378378	0.837139791799895	0.402513995692037	0.924281974747758	1.21670575002536
BRCA	0.127167085055143	1.13560674484635	0.0912482476011769	1.39363865496857	0.163426749479918	0.949636315099222	1.35799638075738
CESC	0.118693247071723	1.12602445400639	0.114389933557702	1.03761968715412	0.299447148650704	0.899868261128951	1.40901854837027
CHOL	0.0922164778148798	1.09660218643294	0.289435957876416	0.318607537541187	0.750024136978889	0.621843033720019	1.9338262070665
COAD	0.125165144069843	1.13333560126688	0.130742893967454	0.957338026348113	0.33839666786961	0.877142144513131	1.46435739421906
ESCA	-0.211115895843974	0.809680222870537	0.142519760878861	-1.48130964114807	0.138524080535446	0.612351084021532	1.07059835511719
GBM	-0.0189992529956925	0.98118009518829	0.103759962397171	-0.18310774750445	0.854713476921528	0.800623049679683	1.20245648633132
HNSC	-0.142224503204831	0.867426494596406	0.0664938662114065	-2.13891162160208	0.032442826656234	0.761435290841158	0.988171591963645
KICH	-0.669538553366842	0.511944758475121	0.541754431955602	-1.23587092947255	0.216506544392474	0.177043869211569	1.4803530723617
KIRC	-0.172510505978582	0.841549447464859	0.0981695440787479	-1.75727113329772	0.078871605655883	0.694252690948472	1.02009755491315
KIRP	0.273581628703261	1.31466466920438	0.157828763444831	1.73340792091355	0.0830231907258327	0.964874668410169	1.79126185922372
LIHC	0.018368519012668	1.01853825794954	0.102711423218519	0.178836184302391	0.858066332303084	0.83281631503235	1.24567706489585
LUAD	-0.0586077770754862	0.943076592884988	0.0858489158030747	-0.68268511637263	0.494805836562589	0.797025536313477	1.11589079587251
LUSC	0.0793391288323408	1.08257139099672	0.0629286720975672	1.26077869098096	0.207388593235791	0.956955103833931	1.22467690689903
PAAD	-0.0461472561499309	0.954901336742575	0.145008764811755	-0.318237702457762	0.750304635750473	0.718665533328609	1.26879128137598
PCPG	-0.158065437857284	0.853793909696408	0.383206885559556	-0.412480682925302	0.679987136490867	0.402871699123588	1.80941982725636
PRAD	-0.801172224521131	0.448802558280622	0.474999453579915	-1.68668030769922	0.0916648406182496	0.176902942154936	1.13861156782129
READ	0.0336161807743799	1.03418758946183	0.287970926481006	0.116734634239534	0.907070343740877	0.588136353815355	1.81853062348302
SARC	-0.179608317246902	0.835597436427273	0.106756245046671	-1.68241508652147	0.0924883779534354	0.677838166058112	1.03007341682199
STAD	-0.180175369660879	0.83512374320097	0.100729447252649	-1.78870602961778	0.0736621713937682	0.6855036479124	1.01740037209419
THCA	0.356236986032329	1.42794591140452	0.454528626335777	0.783750385325927	0.433186591480527	0.585890274669864	3.48022422294998
THYM	-1.13039881540503	0.322904451469662	0.437052246534311	-2.58641575319367	0.0096979874836066	0.13710537640504	0.760490124551316
UCEC	0.102511952325535	1.10795054441625	0.120410980112892	0.8513505348883	0.394574660708946	0.875036891290092	1.40286017777198
