	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0541636321179217	1.05565732746728	0.0435492171828823	1.24373377115976	0.213597562438615	0.969290163950339	1.14972010908847
BRCA	0.0559639935578649	1.05755960409237	0.0570479223479984	0.980999679821442	0.326592899442118	0.94568298258766	1.18267150493462
CESC	0.0559207055973894	1.05751382548487	0.0622358142415111	0.898529348075765	0.368903406153612	0.936075401243966	1.19470663325354
CHOL	0.105647990761344	1.11143057380938	0.122228211865832	0.864350293182009	0.387395489931213	0.874664493294004	1.41228771702642
COAD	0.135510595720089	1.14512132915523	0.0576743592658131	2.34958129479236	0.0187945394620846	1.0227253018065	1.28216526585389
ESCA	-0.00216751335952151	0.997834834001275	0.0771604152975526	-0.0280910017288393	0.977589570823124	0.857787269076771	1.16074741586919
GBM	-0.0654760836483272	0.936621447059672	0.0945539074286018	-0.692473589182642	0.488639966174656	0.778179285856858	1.12732342152515
HNSC	0.0274370663145855	1.02781692876454	0.0369860436185626	0.741822147768607	0.458195099809778	0.955945623140654	1.10509176827889
KICH	-0.416143221099489	0.659585797116191	0.149945369449636	-2.77529891471083	0.00551509926695648	0.491629082156719	0.884922067361988
KIRC	0.135399518348812	1.14499413915229	0.0561121693685374	2.41301521350075	0.0158211591715297	1.02574757405479	1.27810351382129
KIRP	0.0440443367368715	1.04502868702325	0.0669262125016133	0.658102932924971	0.51047199137708	0.916559191602504	1.19150510595191
LIHC	0.0688556290318352	1.07128153603093	0.0424237809849486	1.62304319495389	0.104580171417586	0.985808212659267	1.16416572179385
LUAD	-0.0568506459320642	0.944735158869215	0.0504580558149319	-1.12669116980208	0.259873077138683	0.855776001085908	1.0429417502607
LUSC	0.0129272817927559	1.01301120032297	0.043820695211959	0.295004032460624	0.767990799267455	0.929638291276894	1.10386125615616
PAAD	0.0841608814165122	1.08780388716211	0.0689048877416063	1.22140655293012	0.221932127329309	0.95038300078246	1.24509518367939
PCPG	-0.370196475143834	0.690598631841548	0.221123237220652	-1.67416360124299	0.0940984508544533	0.447718739992265	1.06523678305192
PRAD	-0.100996769230158	0.903935953290164	0.282577943532422	-0.357412075293731	0.720783338185713	0.519525511746021	1.57278168093129
READ	0.0606843199356239	1.06256343114498	0.119737964447308	0.506809350031408	0.612288595216991	0.840298764831105	1.34361859431451
SARC	0.121031256350307	1.12866018961429	0.0379214901390166	3.19162711978399	0.00141473841635258	1.04781443191586	1.21574372791465
STAD	0.0477528131796684	1.04891134621641	0.0548643245879708	0.870380042737978	0.384092749420188	0.94197241615407	1.16799068991164
THCA	-0.313055498648362	0.73120933031326	0.126143585210891	-2.481739345881	0.0130742873122762	0.571042076703699	0.936300680019055
THYM	-0.401111953262875	0.669575095725001	0.169640594818894	-2.36448094096285	0.0180553563417505	0.480176559979403	0.933679080116647
UCEC	0.137344537765121	1.14722334220333	0.0475944711202937	2.88572463423296	0.00390513667769371	1.04504619324929	1.25939064263184
