	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.060350135873837	1.06220839870805	0.0732899099853361	0.823443989573898	0.410255556227416	0.920079271361524	1.2262929047584
BRCA	0.115247354456364	1.12215097228951	0.0936931238722682	1.23005136015617	0.218677872578242	0.93389824327424	1.34835118673686
CESC	-0.396722248599831	0.672520793285946	0.165017941145072	-2.40411585459705	0.0162116346002948	0.486678533156364	0.929328471647721
CHOL	-0.292867239321928	0.746121189677236	0.301077944692203	-0.972728970969067	0.330688022554598	0.41355317830369	1.34613118431064
COAD	-0.124615764983276	0.882836053949462	0.0873787384618047	-1.42615660487875	0.153823142606396	0.743880447888312	1.04774833155727
ESCA	-0.121225503654292	0.885834178223722	0.102372188616898	-1.18416442289758	0.236347982312152	0.724791460378005	1.08265926712222
GBM	-0.236768322640635	0.789174100611731	0.1453435621099	-1.62902518146352	0.103307688286326	0.5935484287101	1.0492753934667
HNSC	-0.0890310402098095	0.914817177016625	0.0546909713592666	-1.62789283124927	0.103547611746223	0.821828638732786	1.01832721314641
KICH	-0.626297136396561	0.534567571549236	0.424040208094526	-1.47697582550226	0.139682117534727	0.232840718154153	1.22728743845764
KIRC	0.447827666071111	1.56490898550026	0.185773365444416	2.41061287230166	0.015925742625717	1.0873228351617	2.25226588985897
KIRP	0.215652824879722	1.24067157391969	0.300961475501677	0.716546277294285	0.473654103212888	0.687825004148562	2.23787437945468
LIHC	-0.2021671902859	0.81695832902695	0.0901812231403617	-2.24178807124005	0.0249750725601227	0.68460096745226	0.974905007584654
LUAD	-0.0551315811419375	0.946360616550061	0.0855299790821338	-0.644587801067917	0.519194342344422	0.800301089903505	1.1190768422732
LUSC	-0.0163537786957757	0.983779218354632	0.0559782015487968	-0.292145482407468	0.770175392808815	0.881553984266462	1.09785851773079
PAAD	0.124019356401711	1.13203778296519	0.147203045980887	0.842505367842824	0.399505136346663	0.84832343039759	1.51063791962002
PCPG	-0.41639029076386	0.659422853604701	0.612680333781826	-0.679620787227905	0.496744604010585	0.198449289697292	2.19118194133854
PRAD	0.834933008585316	2.30465965070505	0.660938157878005	1.26325435841976	0.206497783151959	0.630979454707635	8.41779564446989
READ	0.225447949136451	1.25288381873446	0.171747835332362	1.31266835881902	0.189294724016283	0.894785170449	1.75429579645241
SARC	-0.0629194204940372	0.939019136338759	0.0693580811731664	-0.907167837255276	0.36431804905878	0.819665653398479	1.07575196637125
STAD	-0.0926986216740419	0.911468155653391	0.0782354336385445	-1.18486748731168	0.23606984410261	0.781893095799692	1.062516350679
THCA	0.646990162062201	1.9097840294182	0.717153874794781	0.902163656645295	0.366969937713692	0.468318994110436	7.78801433400916
THYM	-0.338387484361519	0.712918989411641	0.491686780790356	-0.688217575867266	0.491315777467207	0.271966640239785	1.86880819285631
UCEC	-0.22827083771798	0.795908668554135	0.0883610627706216	-2.5833871906968	0.00978354564298864	0.669345213070999	0.946403434743653
