	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.12171221321388	0.885403139164895	0.179273982074589	-0.678917329806619	0.497190244593812	0.623078502166441	1.25817006383192
BRCA	0.0178620731231847	1.0180225540346	0.166341141130536	0.107382172574898	0.914485796947769	0.734797320190173	1.41041603180441
CESC	-0.126734884433445	0.880967199758226	0.259167088801384	-0.489008403881752	0.624835747160086	0.530098179918623	1.46407446101587
CHOL	0.493572219191763	1.63815763848528	0.785821889720854	0.62809680622042	0.529940525173178	0.351125916659854	7.64272963401707
COAD	0.0771653983908782	1.08022072838809	0.171281605488413	0.450517720048451	0.652337180001266	0.772177850201907	1.51115034151028
ESCA	-0.378874792618457	0.684631328195983	0.290607052693554	-1.3037357115279	0.192323708865733	0.387339329565934	1.2101018919836
GBM	-0.0961682731366335	0.908311158840447	0.164599714143769	-0.584255407956756	0.559048488475409	0.657850363426886	1.25412891311076
HNSC	-0.310750727788124	0.732896543843922	0.141946058376961	-2.18921702611054	0.0285810697207299	0.55490414605954	0.967982214212419
KICH	-1.55954722385141	0.210231237344617	0.791589917141557	-1.97014538725172	0.0488217104656822	0.0445548193718808	0.991972894930916
KIRC	0.458059637641695	1.58100328755752	0.194743508720923	2.35211761691178	0.0186668714032989	1.07936118884508	2.3157877280563
KIRP	-0.48409336358856	0.616255663386126	0.307197034902051	-1.57583996129036	0.115062690333773	0.337500432174251	1.12524609289803
LIHC	-0.23034202365672	0.794261899682264	0.132834987275267	-1.73404634111489	0.0829098611143724	0.612201492464453	1.03046459875056
LUAD	-0.142725626262586	0.866991916076808	0.124004989161829	-1.15096680566881	0.249745891915292	0.679926252483805	1.1055242826654
LUSC	0.166421458336629	1.18107076896464	0.117273955180889	1.41908284819023	0.155874863771935	0.938538622709802	1.48627677918592
PAAD	-0.752712107145544	0.47108717972057	0.272885841987538	-2.75834063674112	0.00580956243419784	0.275943669714656	0.80423345506191
PCPG	-0.750086758069563	0.472325572908464	0.717634261599967	-1.04522149820055	0.295920609639132	0.11571510908146	1.9279370567439
PRAD	0.596045459286449	1.81492738615148	0.865451906760796	0.688710088486975	0.491005726249579	0.332801484863348	9.89767644322616
READ	-0.553982538134692	0.574656655078964	0.437562568656188	-1.26606473637826	0.205489906353635	0.243755546696862	1.35476002782912
SARC	0.242442924825399	1.27435851285309	0.196615285986098	1.23308278707557	0.217544878725962	0.866826918720815	1.87348775656123
STAD	-0.0137074457642238	0.986386073479489	0.181840610840959	-0.0753816526508071	0.939911056734344	0.690659394213984	1.40873706215431
THCA	1.23880876179855	3.45149945686218	0.478619770051317	2.58829417277461	0.00964525705477274	1.3508462531022	8.81880411879751
THYM	-0.304011387865602	0.737852463838055	0.524500687120601	-0.57962057120375	0.562170517508123	0.263945181167969	2.06264897878711
UCEC	-0.166782675637595	0.846383531112589	0.174696730629655	-0.954698322266618	0.339730278559328	0.600986999644156	1.19198099486807
