	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0542617774764996	0.947184122575523	0.166264057735757	-0.326359035232605	0.74415272736099	0.68377022745929	1.31207491351702
BRCA	-0.162820409873927	0.849743780304817	0.185043852181254	-0.879901752771773	0.378912535123093	0.591259840531314	1.22123040103293
CESC	-0.0334242284506438	0.967128189256499	0.250633389357767	-0.133359041013216	0.893909436545562	0.591758512783213	1.58060579484593
CHOL	0.110111092013859	1.11640208692624	0.533361759808242	0.206447293959444	0.836441531167603	0.392484297887845	3.17555027398679
COAD	0.231198955118599	1.26010991982988	0.241674927802994	0.956652629299903	0.338742615331657	0.784683207997609	2.02358989445649
ESCA	0.199045460699263	1.22023743748615	0.258113196509193	0.771155692119656	0.440614653332337	0.735763084308287	2.02372127060791
GBM	-0.217458330999909	0.804561129479133	0.23572680051239	-0.922501516701656	0.35626703956322	0.5068833553545	1.27705635671548
HNSC	0.368211801248443	1.44514809073146	0.144000627575562	2.55701525366776	0.0105574587926241	1.08977990894006	1.91639888661194
KICH	-0.131652648917219	0.876645445945508	0.768483639767234	-0.17131483626261	0.863976215265156	0.194396983204953	3.95328788146244
KIRC	0.53277841638862	1.70365921360229	0.263432204898774	2.0224498238298	0.0431299022585651	1.01659700752883	2.85506911253589
KIRP	0.771092356990402	2.16212677858303	0.41558805126545	1.85542475208913	0.0635355954831597	0.957484969313876	4.8823661535029
LIHC	0.0608786265142888	1.06276991426976	0.184397889465924	0.330148174095772	0.741288004309097	0.740422288314333	1.52545366138068
LUAD	0.467571343764442	1.59611307220521	0.163827696252615	2.85404333003297	0.00431666433023192	1.15774593984783	2.20046285767947
LUSC	-0.0339102960805265	0.966658213778941	0.136269616446331	-0.24884707952401	0.803479072119775	0.740082334228325	1.26260019872061
PAAD	0.259142835537038	1.29581888059575	0.285968099192516	0.90619490869358	0.364832697352792	0.739822978527183	2.269659932233
PCPG	1.50503959938633	4.50433199553975	1.16617305391185	1.29057998239436	0.196849360929377	0.458122993563149	44.2872482086983
PRAD	0.426219405709426	1.53145674862904	0.943111473766038	0.451928979304476	0.651320146842705	0.241171949552762	9.72484477266425
READ	-0.126751868321994	0.880952237636548	0.417972577539034	-0.303254029410953	0.761696276789328	0.388305426693754	1.99862477226957
SARC	0.29427666337791	1.34215517749075	0.200415053876066	1.46833612389161	0.14201294308621	0.906168847708646	1.98790824140582
STAD	-0.227863693958931	0.796232783777577	0.188114900833363	-1.21130060909305	0.225780215401502	0.550701629064456	1.15123437538985
THCA	-0.809335121754181	0.445153941023109	0.978408679289625	-0.82719536210758	0.408126339967906	0.0654164910666206	3.02923663402545
THYM	-1.03980632134379	0.353523145216337	0.606251169879537	-1.7151411378726	0.0863193536081193	0.107739739467412	1.16000479323095
UCEC	0.0706338288745086	1.07318818338737	0.221329441781428	0.31913435603503	0.749624632341999	0.695472432236133	1.65604389703723
