	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0566685110954958	1.05830493589938	0.0607413118334978	0.932948423156116	0.350846598953923	0.939523664101528	1.19210338189838
BRCA	0.0412658635718247	1.04212913289168	0.0632670671741745	0.652248719831119	0.514240735189268	0.920594787671423	1.17970810194202
CESC	-0.246323700647751	0.781669157156088	0.121815915301274	-2.02209785181637	0.0431662439130865	0.615648861886591	0.99245967803261
CHOL	0.135702664135108	1.14534129191719	0.26657775683036	0.509054715399467	0.610713872393082	0.679240417442123	1.93128477234988
COAD	-0.0954091051969564	0.909000981363931	0.125467980523615	-0.76042592539376	0.447000031390792	0.710830106191586	1.16241951054601
ESCA	-0.0390012225436484	0.961749533364865	0.151578095771664	-0.257301177621334	0.796946283441283	0.714559627878022	1.29445063622518
GBM	-0.0218445270288278	0.978392336790622	0.0731196125770589	-0.29875058495156	0.765130357356505	0.847761159628105	1.12915241966327
HNSC	-0.222912939578821	0.800184510662655	0.072446000606356	-3.07695300931855	0.00209128265546055	0.694262955661749	0.92226619018456
KICH	0.673683830370334	1.96144967581874	0.175943944748078	3.82896854640229	0.000128681450227063	1.38935559005259	2.76911458687391
KIRC	0.28465043612624	1.32929727259135	0.076145545205425	3.73824148685667	0.000185311907283779	1.14500374751583	1.5432536729705
KIRP	0.624972988665997	1.86819549429821	0.13342434108047	4.68410024441545	2.81192374815589e-06	1.43830607662837	2.42657280090036
LIHC	0.224604205912724	1.25182715234252	0.06275605564981	3.57900450541468	0.000344905522728395	1.106945695566	1.41567127061344
LUAD	0.111665812472757	1.11813913004949	0.0634029321420619	1.7612089646352	0.078203041304177	0.987477417285573	1.26608982875227
LUSC	-0.105353728081361	0.900006108839551	0.0808059119913295	-1.30378737749616	0.192306087522067	0.768180609146789	1.05445384367119
PAAD	0.218303868000306	1.2439650113541	0.0873564980304399	2.49899976443924	0.0124544393826058	1.04821453932578	1.47627121301766
PCPG	0.0759896226661323	1.07895137746052	0.332453852012676	0.228571942259327	0.819201634105574	0.562362874212495	2.07007988668197
PRAD	0.764615278654985	2.14816776966546	0.293523855768879	2.6049510580736	0.00918873844338524	1.2084264910941	3.81870539965691
READ	-0.496046454421151	0.608933352769421	0.246002068949298	-2.01643204278655	0.0437548176852568	0.375986646938569	0.986204779170235
SARC	0.113556221311689	1.12025486932012	0.0711148012036058	1.59680150109077	0.110309961245632	0.974504416657831	1.28780429393999
STAD	-0.180136661969501	0.835156069538719	0.0697055891039017	-2.58424990427945	0.00975910536690751	0.728507683684886	0.957417026762696
THCA	-0.27370516921855	0.760556277610046	0.231027097791954	-1.18473188571597	0.236123471208239	0.483593809910245	1.19613989996979
THYM	-0.293009602624598	0.746014976961058	0.120691912475627	-2.42774844324196	0.0151928770915525	0.588863185907951	0.945106366247192
UCEC	0.138572092512247	1.14863248638693	0.105984649570464	1.30747323384899	0.191052039563227	0.933182955514194	1.41382413918656
