	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.3612558377067	0.696800707766002	0.166221395417597	-2.17334138483869	0.0297546328890098	0.503061029018728	0.965153725563435
BRCA	0.17929336308144	1.1963716639698	0.159644359473884	1.1230798486856	0.261403583679043	0.87493661799761	1.63589582251748
CESC	0.131448551508165	1.14047923027658	0.249847956322319	0.526114175369071	0.598808880159619	0.698902211326269	1.86105130819949
CHOL	-0.626396701567682	0.534514349887055	0.579071292925673	-1.08172639400393	0.279374121476194	0.171811801218271	1.66289852157605
COAD	-0.488653417313602	0.613451901962556	0.200386375611057	-2.43855609356427	0.0147460699109725	0.414201173644348	0.908551834149571
ESCA	0.0439289640646739	1.04490812622595	0.224427475509106	0.195737905820232	0.844815313700367	0.673046535697812	1.62222511274204
GBM	-0.361140363568751	0.696881174872898	0.22641883993676	-1.59501021942176	0.11070995052917	0.447126764419905	1.08614247801135
HNSC	-0.115436688711333	0.890976979352191	0.139494201333654	-0.827537543551516	0.407932451680249	0.677842513241825	1.17112745546007
KICH	-0.390513337336677	0.676709405117564	0.938952495438788	-0.415903189174852	0.677480845750938	0.107439604103287	4.26226085619538
KIRC	-0.724995403589609	0.48432679511496	0.13821920765688	-5.24525799185134	1.56063789589958e-07	0.36939081633082	0.635025111875682
KIRP	-0.771422072155848	0.46235509827031	0.312081047437629	-2.47186453163267	0.0134410438951949	0.250802454047931	0.85235305096215
LIHC	-0.0175269856718132	0.982625718492128	0.164547743507917	-0.106516110754019	0.915172873592044	0.711745669825337	1.35659877337802
LUAD	-0.23660464524117	0.789303281147923	0.141712722483829	-1.6696076477408	0.0949970163051184	0.597885223463575	1.04200546389458
LUSC	0.00123345228828036	1.00123421330341	0.119211840985164	0.0103467262822816	0.991744654140434	0.792615167063244	1.26476251218306
PAAD	-0.638247016674579	0.5282175695154	0.291887396507769	-2.18662067739397	0.0287702265881808	0.298097161185498	0.935982750171622
PCPG	-0.0707507297150355	0.931694106839788	1.00663563283171	-0.070284348584016	0.943967339718459	0.129545861766775	6.70074595113484
PRAD	1.79962983870446	6.04740853347832	0.944185591166123	1.90601281733374	0.0566485427311947	0.950335770024173	38.4823460552854
READ	-0.685781905918941	0.503696232495039	0.516979564174204	-1.32651646881705	0.184668683775832	0.18285839336294	1.38746649778405
SARC	-0.120769793097771	0.886237954205566	0.20584046209906	-0.586715516794999	0.557394784740062	0.592023064014541	1.32666742094219
STAD	-0.0571655297352431	0.944437723900578	0.162015285771325	-0.352840347520844	0.724208133731355	0.68748885891174	1.29742119128801
THCA	0.186336283338733	1.20482735562617	0.710332994557654	0.262322438583569	0.793072864091832	0.299425151845586	4.84798604231397
THYM	1.13728259773598	3.11828321176048	0.897467454470395	1.26721319204505	0.205079070000293	0.53701927550472	18.1067805799119
UCEC	-0.0685925947939518	0.933706999693445	0.191159933804067	-0.358823072539128	0.719727451158981	0.641940807090217	1.35808278839331
