	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.121297102328521	0.885770755941477	0.157116238877801	-0.772021423087025	0.440101739233409	0.651004143535852	1.20519944438407
BRCA	-0.0900045848648238	0.913926995029891	0.13495508662687	-0.666922508179868	0.504821632912213	0.701515913887342	1.19065374813223
CESC	0.606703854417071	1.83437505573335	0.275843670469016	2.19944816346699	0.0278460711535499	1.06829102093859	3.14982694709944
CHOL	0.150048814551487	1.16189095853001	0.545504000475882	0.275064553918191	0.783266643403233	0.398870139570198	3.38453663382391
COAD	-0.0151146664590303	0.984998986781274	0.270990720885684	-0.0557755867419769	0.95552058361886	0.579119333698346	1.67534210568337
ESCA	-0.0459500753678803	0.955089643499562	0.324205735791116	-0.141731222785909	0.887292311670377	0.505917512833199	1.80305327248253
GBM	-0.313764505587683	0.730691081566661	0.200180404295519	-1.5674086916344	0.117019193658332	0.493559979534159	1.08175192240056
HNSC	-0.085381172302186	0.918162239677341	0.134925483239412	-0.632802419915633	0.526862676305598	0.704807713593358	1.19610197520582
KICH	-1.08165223980574	0.339034895674731	0.886601895661091	-1.21999766197118	0.222465761211668	0.0596441012951049	1.92717566346514
KIRC	-0.401443914647898	0.669352859537804	0.16145032606968	-2.48648562329097	0.0129011782230377	0.48778490485457	0.918505771934483
KIRP	-0.752863206537727	0.47101600411148	0.312634266558767	-2.40812760170104	0.0160345755869133	0.255223637255542	0.869261477952425
LIHC	-0.0953612396854725	0.909044492202169	0.140202951455629	-0.680165707607463	0.496399543112309	0.690627982961744	1.19653693332735
LUAD	-0.160604904244628	0.851628479443404	0.157693283531449	-1.0184638219712	0.308457585332108	0.625203513549273	1.16005596782675
LUSC	-0.136247612696246	0.872626532326767	0.150085552319145	-0.90779965553597	0.363984080420337	0.650242512291987	1.17106625685941
PAAD	0.0645947450487086	1.06672664052451	0.294953405131447	0.218999828192937	0.826650181600534	0.598395539660005	1.90159459786623
PCPG	1.62724913678762	5.08985395078155	1.421553191022	1.14469802963738	0.252334267943817	0.313817422333187	82.553138852759
PRAD	1.93333913902759	6.91255372539704	0.844028862704076	2.2906078505818	0.02198610447832	1.32190379466755	36.1474104237045
READ	-0.698311935623864	0.497424279675878	0.527271039175365	-1.32438894560946	0.185373903993368	0.176975463112909	1.3981085832967
SARC	-0.150941241886809	0.859898223171958	0.18460213219325	-0.817657088211731	0.41355301985676	0.598843626553456	1.2347546528464
STAD	-0.128946607323016	0.879020897571505	0.187881093579922	-0.686320293681725	0.492511154575423	0.608239363748626	1.27035141823992
THCA	0.937043884158375	2.55242499104421	0.849834216128639	1.10261962436275	0.270192384371352	0.48258385899271	13.4999818446176
THYM	0.731417627614822	2.0780243853438	0.567067533006164	1.28982455358958	0.19711158077527	0.683851620572785	6.31450627033189
UCEC	-0.119204234887483	0.887626497950465	0.182237370552475	-0.654115204395786	0.513037586562679	0.62102563493778	1.26867677522321
