	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.168698679771623	1.18376339332331	0.126702553433778	1.33145445928044	0.183039520258357	0.923454488857379	1.51744973713453
BRCA	0.275798788711033	1.31758272483531	0.128741855826383	2.1422620245817	0.0321724028829702	1.02374696131317	1.6957552035687
CESC	0.0292893622524348	1.02972251419578	0.191355232150548	0.15306277190995	0.878348773589816	0.707682309762434	1.4983113773151
CHOL	-0.459783329056718	0.631420441149162	0.397470441720663	-1.15677363847812	0.24736485478205	0.289728477304153	1.37608762939261
COAD	-0.116977164380695	0.889605507624168	0.110151825027251	-1.06196301651611	0.288252475097044	0.716862825295566	1.10397405370959
ESCA	0.00470767664343477	1.00471877516237	0.205941308028662	0.0228593121433393	0.981762496113078	0.671037759566773	1.50432640007544
GBM	-0.0264631234715501	0.973883956632795	0.149284416933305	-0.177266482431135	0.859299076969694	0.726835423893285	1.30490332447803
HNSC	-0.132906023343943	0.875547369256627	0.094245172237457	-1.41021571915723	0.158475995686107	0.727877025081153	1.0531767996479
KICH	0.996509366217855	2.70880984331254	0.644923763555946	1.54515839317713	0.122307955541747	0.765276568434262	9.58823394036427
KIRC	-0.61467033185009	0.540819156774988	0.110090984490742	-5.58329398809017	2.36005299176532e-08	0.435855419850262	0.671060510008784
KIRP	-0.0221732922206468	0.978070728316075	0.220853639334844	-0.100398129219999	0.920028254929972	0.634423560461116	1.50786069308876
LIHC	-0.0830800091366667	0.920277513665123	0.126207023125689	-0.658283565201656	0.51035593653984	0.718606593360361	1.17854568825666
LUAD	0.0473425179577078	1.04848107117873	0.106829172116478	0.443160955193863	0.657649318177983	0.850408197951284	1.29268809880767
LUSC	-0.0318825010968136	0.96862038722618	0.127934152747845	-0.249210241456425	0.803198157765189	0.753799521543592	1.24466178040143
PAAD	-0.112348230150779	0.893732978535271	0.164555730034818	-0.682736663907159	0.49477325762641	0.647347823618631	1.23389406402345
PCPG	1.15498944824006	3.17398992617116	0.845694177125158	1.36572945573105	0.172023895409315	0.604991614813049	16.6518209587897
PRAD	-0.308292494771244	0.734700390555354	0.408701730483572	-0.754321481356283	0.450656206536056	0.32977879517441	1.63680828416125
READ	-0.187765186199217	0.82880930024714	0.244733131341518	-0.767224221624474	0.442948214075967	0.513023662341901	1.33897304666302
SARC	-0.118935815910656	0.887864785725899	0.145598032921747	-0.816877903663573	0.413998206439229	0.667442044859858	1.18108213859619
STAD	0.0459879443509364	1.04706178787139	0.116672687301007	0.394162039246518	0.693461409995366	0.83302941881141	1.31608603833549
THCA	0.403008813451257	1.49632007934955	0.479476760983393	0.840517927552313	0.400618054126833	0.584646218435049	3.82962158868969
THYM	0.278493730891154	1.32113832301008	0.537180532609391	0.518436007981063	0.604154097054149	0.460998372565087	3.78614453412079
UCEC	0.140277181688668	1.1505926778829	0.173222821733534	0.809807739447028	0.418050683753149	0.819358706279463	1.61573130333737
