	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0305101851686872	1.0309803907045	0.0294471790203391	1.03609874302778	0.300156078582892	0.973161503806563	1.09223449741851
BRCA	-0.055060898147505	0.946427510516357	0.0308253501924187	-1.78622133418769	0.0740634280939642	0.890940641041033	1.0053700453215
CESC	-0.00704202601157044	0.992982710953427	0.0632781731549267	-0.11128680966072	0.911388914797432	0.87716078655901	1.12409797537852
CHOL	-0.0402118199397526	0.960585946343885	0.116241162866571	-0.345934425878982	0.729391995959317	0.764876946242323	1.20637099189161
COAD	0.0348403279841156	1.03545436251397	0.0874403510032048	0.398446799268208	0.690300866666352	0.8723717642512	1.22902388727528
ESCA	-0.0206479950175999	0.979563715197258	0.0594430705557486	-0.347357477071027	0.728322775159764	0.871835715535941	1.10060307811684
GBM	-0.0159349775367859	0.984191312518203	0.0602838487942295	-0.264332451485931	0.791523756589461	0.874512098354415	1.1076262311968
HNSC	-0.170046874699944	0.843625270988104	0.0645711831121262	-2.63347930925569	0.00845149849486149	0.743338265483237	0.957442433542796
KICH	-0.202986883909137	0.816288947875407	0.213481403095796	-0.950841061401731	0.341685064821056	0.537190367546219	1.24039388395439
KIRC	-0.0505316994606814	0.950723790763228	0.0515262316898111	-0.980698525847634	0.326741431058542	0.859399613106341	1.05175254042307
KIRP	0.0928529884553564	1.097300407582	0.123601852704315	0.751226510151774	0.452516348356338	0.861222668998004	1.39809160606572
LIHC	0.0656184851956694	1.06781925059122	0.0337357984826475	1.94506987079085	0.0517665695339274	0.999497661394287	1.14081102535305
LUAD	-0.0821919862464116	0.92109510412844	0.0503637867029329	-1.63196597450496	0.102686654245845	0.834516140697117	1.01665641858125
LUSC	-0.0407210720571848	0.960096890453677	0.0472762473025794	-0.861343156036901	0.389049073557678	0.875131766134141	1.05331114093912
PAAD	-0.272360899771711	0.761579357670208	0.0727256738566677	-3.74504470468705	0.00018036165679617	0.66040592094443	0.87825244994763
PCPG	-0.153253645646183	0.857912088545628	0.151873692260998	-1.00908619106206	0.312933299948835	0.63704141318313	1.15536154548423
PRAD	0.288623472227046	1.33458912404149	0.279338020641778	1.03324091566173	0.30149116966711	0.771924147943692	2.30738750012488
READ	0.123393705035429	1.13132974349562	0.276630305027295	0.44605996809805	0.655553928717096	0.657841189684387	1.94561697958123
SARC	0.0491241654616482	1.0503507599307	0.0382806045501106	1.28326514272634	0.199399200350859	0.974428200775251	1.13218882418353
STAD	0.0310058902324308	1.03149157959378	0.0445032828486428	0.696710180637302	0.485984186270547	0.945332140941213	1.12550375967704
THCA	0.364349517084366	1.43957728309204	0.277822416220376	1.31144751399525	0.18970661514119	0.83512621254478	2.48152042513398
THYM	-0.477595190308962	0.62027323878464	0.550681180861636	-0.867280755012696	0.385788198648708	0.210786296454044	1.82525570791206
UCEC	0.139035862461705	1.1491653111616	0.0598873806470176	2.32162203388384	0.0202532964000433	1.02189500662976	1.29228629537241
