	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0599898624874636	0.941774080782407	0.0399992506796198	-1.4997746574795	0.133672784046455	0.870761682502639	1.01857768555504
BRCA	-0.114897545513075	0.891457473046228	0.0434320846706738	-2.64545315713698	0.00815815815603834	0.818712031178524	0.970666603135186
CESC	-0.0686170828818751	0.933684135274296	0.0638639277385973	-1.07442628901143	0.282631665156729	0.82383247139193	1.05818366565473
CHOL	-0.0572669601549621	0.944341934043929	0.121031888884398	-0.473155964785942	0.636101911645575	0.744915042998197	1.19715892003538
COAD	-0.0812218663688289	0.921989110374599	0.138610894681636	-0.58597029155162	0.557895479244904	0.702651510436103	1.20979448136637
ESCA	-0.104071969322419	0.901160439181132	0.0958108357997065	-1.08622337394053	0.277380178513742	0.746874766260828	1.08731767871982
GBM	0.0680910741970487	1.07046279557901	0.0627205228183993	1.08562669979967	0.277644182233707	0.946637646927852	1.21048492043139
HNSC	-0.0975607223329447	0.907047261857704	0.06737338599486	-1.44806025246212	0.147600200494249	0.794843425803659	1.03509031909234
KICH	-0.0304008253304211	0.970056632342802	0.2003099516126	-0.151768921542232	0.879369195151816	0.65507790188981	1.43648544278104
KIRC	0.0867013070635815	1.09057088524436	0.0613099060297197	1.41414842524067	0.15731832732897	0.967089821915038	1.22981839824094
KIRP	0.218759921037576	1.2445324547581	0.128286640390137	1.70524319892	0.0881490763106279	0.967850859998839	1.60030960859824
LIHC	-0.141655321743751	0.867920358211653	0.0439319468626945	-3.22442622874153	0.00126225373708387	0.796315069605185	0.945964451698402
LUAD	-0.0947308227175953	0.909617749951329	0.0533601740579847	-1.77530947733893	0.0758468013985214	0.819291905154716	1.00990189921414
LUSC	-0.0590833390267645	0.942628208166078	0.0488755456905368	-1.20885277477739	0.22671941208974	0.85651996774274	1.03739314002458
PAAD	0.116235314359212	1.12326016028148	0.0805098998508517	1.44373939819256	0.148812294532083	0.959290634793944	1.31525665102172
PCPG	0.0301980086066276	1.03065859302204	0.232730503006598	0.129755267214678	0.896760055212848	0.653152006257399	1.62635515958523
PRAD	0.110668033628836	1.11702403088465	0.265061568937893	0.417518216889327	0.676299402518185	0.664418474608353	1.87794700668023
READ	-0.159550760830859	0.852526691334887	0.302362801550484	-0.527679860130609	0.597721554002674	0.471342175186211	1.54198329303181
SARC	-0.0594725939578645	0.942261356891821	0.0459837061399202	-1.29334059714326	0.195893285478271	0.861053187925948	1.03112847979836
STAD	-0.201384526635165	0.81759798289951	0.0869680294894915	-2.31561560975115	0.0205792657861005	0.689465422102681	0.969543127489567
THCA	0.268036841628657	1.30739530570004	0.189160669441942	1.41697976867715	0.15648884258561	0.902387493246172	1.8941779425795
THYM	-0.338638967435175	0.712739724894856	0.169075686771828	-2.00288387940826	0.0451897537887836	0.511697717312291	0.992769555649909
UCEC	-0.0628176470657606	0.939114708398747	0.0504274393053831	-1.24570368694202	0.212873199582261	0.850735838247715	1.03667483592488
