	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.128222732385732	0.87965742912543	0.0697843694042176	-1.83741335603417	0.0661488966130825	0.767207804236747	1.00858879216612
BRCA	-0.24064877197636	0.786117684466505	0.0957846519116907	-2.51239386658969	0.0119915169122703	0.651561662455997	0.948461288378387
CESC	-0.0353409116461767	0.96527628623087	0.13966229919084	-0.253045466463971	0.80023307905414	0.734126451426151	1.26920683344072
CHOL	-0.596293927285256	0.550849345541457	0.473197734180431	-1.26013690306025	0.207619979773609	0.21789446392571	1.39257783798906
COAD	0.116785076735054	1.12387785623333	0.12589841669998	0.9276135458745	0.35360806858949	0.878120645171591	1.43841446238267
ESCA	-0.0129869138947181	0.987097052191718	0.181589667598294	-0.0715179121504164	0.942985569225519	0.691497237826296	1.40905926610561
GBM	0.217722465813887	1.24324197758375	0.0881842990960625	2.46894819197591	0.0135510835970026	1.04590696237616	1.47780889737537
HNSC	-0.215605080602586	0.806053565213418	0.10001985227971	-2.15562286574507	0.0311131255985556	0.6625624981044	0.9806204725624
KICH	-0.462471137222373	0.629725582878777	0.357897624685765	-1.29218833913308	0.196291928957944	0.312254227337043	1.26997258968725
KIRC	0.568308342921019	1.76527827866071	0.0867529605722687	6.55088125145418	5.71985297963841e-11	1.48925450814601	2.09246128453269
KIRP	0.266361603094685	1.30520694023367	0.154770057943351	1.72101507639275	0.0852480881417766	0.963693350266893	1.76774609512697
LIHC	0.0105845278270875	1.01064074210053	0.0957807387223678	0.110507895097448	0.912006588838075	0.837660601668049	1.21934194775258
LUAD	0.00128760290568747	1.00128843222221	0.0776419844114825	0.0165838484867093	0.98676860982825	0.859944101391507	1.16586476130217
LUSC	-0.0269096985667932	0.973449141408157	0.0917792306154154	-0.293200306718123	0.769369049659704	0.813187405358511	1.16529501645504
PAAD	0.140196205685596	1.15049951125886	0.123553687322641	1.1346986781503	0.256501591360861	0.903061545106195	1.46573523430368
PCPG	-0.293333346578474	0.745773498213517	0.372150612831741	-0.788211375890164	0.430573076113423	0.359610008465875	1.54661465905893
PRAD	-0.393205734150674	0.674889885404904	0.415525505635538	-0.946285435714166	0.344003019809619	0.298907607053413	1.52380316416789
READ	0.203058786800345	1.225144488455	0.248121741001289	0.818383693347091	0.413138129971778	0.753330761488127	1.99245682550733
SARC	-0.259596200082362	0.771362999240537	0.100137635709631	-2.59239394102645	0.00953105637989853	0.633901081511522	0.938633635359308
STAD	-0.0944552584664186	0.909868442624834	0.11185811701024	-0.844420244064823	0.398434613859271	0.730743230221465	1.13290215857852
THCA	0.241694099470856	1.27340459809025	0.298404874264686	0.809953590960691	0.417966849273411	0.70951850079633	2.28543620584582
THYM	0.871746928927391	2.39108426140352	0.286064521427804	3.04737869826125	0.00230846676632226	1.36488581029246	4.18883682577561
UCEC	-0.0918991657884352	0.912197125585797	0.108931932783127	-0.843638439532675	0.398871477287717	0.736827235012194	1.12930624220645
