	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0279175137662715	1.02831085943313	0.0615670460595904	0.453448972348784	0.650225479330724	0.911419796741065	1.16019338992756
BRCA	-0.160968951961145	0.851318502466771	0.0887809948148608	-1.81310146723205	0.0698161729296769	0.715354893911999	1.01312397358313
CESC	-0.248305347687683	0.780121698549384	0.0912274590030469	-2.72182685346294	0.00649221480802269	0.652393167124721	0.932857508655097
CHOL	0.252194909934574	1.2868468320747	0.225503746325823	1.11836239549735	0.263412248118442	0.82713751896827	2.00205495609274
COAD	-0.102915544754163	0.902203166054224	0.136953508621589	-0.751463367313389	0.452373839192726	0.689809718847272	1.17999287426463
ESCA	0.0255421261843661	1.02587112139619	0.1299572647041	0.196542503741695	0.844185568176352	0.795193790684975	1.32346551248613
GBM	-0.0873784626500305	0.916330233231689	0.0823786419549978	-1.0606931672625	0.288829366172314	0.779706560960958	1.07689371665616
HNSC	-0.111317396972593	0.894654743153135	0.0555719121259362	-2.00312338939009	0.0451640460525182	0.802329150440158	0.997604423330873
KICH	0.819102012007055	2.26846187111195	0.219529675524876	3.7311675974952	0.000190594369746483	1.47525632512638	3.48815265052187
KIRC	0.381154181076659	1.46397330499034	0.10445321599519	3.64904208496759	0.00026321998450217	1.1929504874008	1.79656897780727
KIRP	0.379993916236755	1.46227569326805	0.123196633020117	3.08445049934688	0.00203928542456886	1.14858752977799	1.86163452735365
LIHC	0.178921466991775	1.19592682074904	0.0728580266365476	2.45575505200442	0.0140588948789797	1.03678269821633	1.37949925577218
LUAD	0.010269340043805	1.01032225068027	0.0831570495970446	0.123493318889587	0.901716464550183	0.858373909705028	1.1891683084478
LUSC	-0.163627801808642	0.849057980921724	0.0833443284347235	-1.9632745848663	0.0496142769371415	0.721098392816307	0.99972411830145
PAAD	0.0715386316801776	1.07415964649171	0.174584775266081	0.409764434333676	0.681978758221521	0.762890141713954	1.51243132275762
PCPG	0.368614368253152	1.44572997678592	0.708147464847471	0.520533344467383	0.602691893547646	0.36083692334783	5.79246476880809
PRAD	0.0349362061896732	1.03555364477961	0.337697769470468	0.103454062620714	0.917602606515943	0.534224423474124	2.00734242781821
READ	0.305954680534858	1.35792076491061	0.281999717283734	1.084946763358	0.277945234632385	0.781332401954556	2.36000554842301
SARC	0.0787417805371175	1.08192491192766	0.0677748449458823	1.16181424833937	0.245310925119354	0.947342602446676	1.23562638482266
STAD	-0.119991613632307	0.886927874789244	0.103306498178842	-1.16151080278202	0.245434232583985	0.724358654993089	1.08598282032769
THCA	-0.537629379956841	0.584131365831686	0.315623314655327	-1.70338930932258	0.0884952370282892	0.314667199127897	1.0843502389002
THYM	-0.424746194282797	0.653935736697885	0.17899870016573	-2.37290099810522	0.0176489938058755	0.460437939557787	0.92875045905494
UCEC	0.133058712479655	1.14231706462948	0.0804540665516901	1.65384694873276	0.0981586140228849	0.975672443203067	1.33742454779172
