	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.00563620190671046	1.00565211517543	0.179213592155902	0.0314496341427463	0.974910958385502	0.707784235213006	1.42887638130631
BRCA	-0.0265703707962955	0.973779515784435	0.184376837103085	-0.14410904977961	0.885414358627526	0.67845146768462	1.39766304669881
CESC	0.27269987678159	1.31350597202276	0.313356826998085	0.870253504268655	0.384161882225636	0.710726055240559	2.42751468842029
CHOL	-0.170922523919231	0.842886874513522	0.549842707431796	-0.310857126245386	0.755909239047532	0.286907783228405	2.47626005552308
COAD	-0.139732303885981	0.869590990372524	0.207721174107828	-0.67269167183431	0.501143466992371	0.578765250042331	1.30655475684098
ESCA	-0.209773843958745	0.810767585225218	0.323782802620439	-0.647884452975893	0.517059687009945	0.429825281091879	1.52932855783189
GBM	-0.913889535674917	0.400961632551866	0.378160152964701	-2.41667327588643	0.0156630692710628	0.191078714912307	0.841382206555243
HNSC	0.0942649863816809	1.09885088786193	0.164900657907045	0.571647121231124	0.567561065147659	0.795380737288118	1.51810726253174
KICH	0.883594836729398	2.41958209376511	0.854259539811954	1.03434002846945	0.300977230001915	0.453516741114177	12.9088454245062
KIRC	-0.500528191075486	0.606210380222995	0.16145429218987	-3.1001231635692	0.00193440187385064	0.441766954189083	0.831866262529035
KIRP	0.88608348098693	2.42561107172744	0.34466141130421	2.57088102098219	0.0101440170689303	1.23436853048795	4.76647688754746
LIHC	0.48090246625213	1.61753351310195	0.202750046055707	2.3718981850194	0.0176969665656803	1.0871066072957	2.40676916914024
LUAD	-0.199170707153621	0.819410002243929	0.183197989221259	-1.08718828192525	0.276953608453921	0.572219758578038	1.17338267634431
LUSC	0.0057805351210038	1.00579727465309	0.181252832338453	0.0318921091958984	0.974558091389895	0.705062739198668	1.43480587110494
PAAD	0.508563434579932	1.66290061272588	0.278278906028641	1.82753138510466	0.0676199117411106	0.963817614456508	2.86904742798607
PCPG	0.316460518677337	1.37226206244541	1.37825969989539	0.22960877307909	0.818395789070429	0.0921001364241707	20.4462581830958
PRAD	0.640406699095255	1.89725233322691	0.707792072890423	0.904794958327259	0.365574023117883	0.473861462926962	7.59624214575506
READ	-0.689551020157799	0.501801317172542	0.50925086973974	-1.35404976433365	0.175720501605865	0.184950994434488	1.36146638565542
SARC	-0.154231794000508	0.857073333528357	0.215508914106274	-0.715663176347552	0.474199353623508	0.561793179966843	1.30755360734134
STAD	0.260880398087368	1.29807240420683	0.237938491974003	1.09641948187127	0.272895242103156	0.814264133962389	2.06934322203749
THCA	0.698547692475763	2.01083024193448	0.789128653399767	0.885213950179406	0.376041249789743	0.428220920423367	9.44241177633422
THYM	-1.60671193351875	0.200545939554856	0.651037856980812	-2.46792397137992	0.0135899180467772	0.0559821333892747	0.718419814269621
UCEC	0.395409206021337	1.48499173416652	0.207912309822868	1.90180757627198	0.0571963154536538	0.987981374459094	2.23202633931251
