	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.126246156725223	1.13456141383472	0.148823460603533	0.848294725933996	0.396273854065121	0.847518622843499	1.51882161296218
BRCA	0.0850045705264313	1.0887220427199	0.13719539821985	0.619587621956643	0.53552931811587	0.832024435642905	1.42461643616067
CESC	-0.210770976457693	0.80995954544521	0.234858186605458	-0.897439342030563	0.369484527281614	0.51115389809605	1.28343825157435
CHOL	0.525275367853492	1.69092441050106	0.337500226809993	1.55637041437964	0.119620036208702	0.872656805337904	3.27646028145193
COAD	-0.230109643530134	0.794446491809994	0.179437473697884	-1.28239457894713	0.199704264922858	0.55889110420014	1.1292812206279
ESCA	0.453788628458106	1.57426520744084	0.256751216299467	1.76742542839143	0.0771570075011912	0.951767488798994	2.60390376066118
GBM	0.0382358558982927	1.03897625266006	0.22176872976732	0.172413197922041	0.863112697106587	0.672722163548122	1.60463221235065
HNSC	0.120838501736817	1.12844265612164	0.151480117075362	0.7977185657752	0.425033827461181	0.838570123009397	1.51851681000158
KICH	0.0725962032322575	1.07529624808905	0.811726402803231	0.0894343253854407	0.9287367450472	0.219071238619235	5.27801836718542
KIRC	-0.165690300570798	0.847308604550514	0.15633308212956	-1.05985437192036	0.289210856372866	0.623692692968935	1.15109873730892
KIRP	-0.944862279225549	0.388733103839485	0.228514231872126	-4.13480714739151	3.5525283455322e-05	0.248393289632469	0.608363560240588
LIHC	-0.253167616529011	0.776337743879438	0.105521232464234	-2.39921019321701	0.016430480097578	0.63129284226356	0.954707945698826
LUAD	0.201313753986121	1.22300843540386	0.142342824758511	1.41428803543597	0.157277348471321	0.925266887555837	1.61656020893618
LUSC	-0.0734876334600724	0.929147636061812	0.123219402614012	-0.596396605575782	0.550910307562003	0.729793818765928	1.18295785384851
PAAD	-0.0942152655999154	0.91008683076527	0.236785199247147	-0.397893389871794	0.690708772754233	0.572177667566899	1.44755394430967
PCPG	-0.663802280093921	0.514889852366414	0.835827916169236	-0.794185342763206	0.427087540080313	0.100059037413751	2.64955137409181
PRAD	-0.242279282260896	0.784836955901417	0.922494856512013	-0.262634832650409	0.792832049682253	0.128691658892827	4.78639449244782
READ	0.148049067641365	1.15956979232179	0.398131185774878	0.371860012305287	0.709997079059157	0.531382213307064	2.5303859813016
SARC	-0.0166527746960989	0.983485116273007	0.168575399497698	-0.0987853194814841	0.921308724831858	0.706766818035397	1.36854610212061
STAD	-0.00499382640062692	0.995018622020062	0.158259415561884	-0.0315546874914004	0.974827179521396	0.729660018712055	1.35688133209531
THCA	0.234802838665457	1.2646594022155	0.553071318570135	0.424543509637233	0.671169481062975	0.427758272592075	3.73894207567382
THYM	1.10407225274877	3.01642469054888	0.654599828687735	1.68663694117073	0.0916731841608658	0.836172927873209	10.8815026299591
UCEC	-0.0966996850392797	0.907828599709522	0.188485232090459	-0.51303587006154	0.607926229473311	0.627429508364487	1.31353842218684
