	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.132866802557197	0.875581709586706	0.074394143301508	-1.78598471144037	0.0741017336034981	0.75678457442057	1.01302716265029
BRCA	-0.31556415119647	0.729377279114333	0.102464308945622	-3.07974703039223	0.00207176481262636	0.596670343567576	0.891599894352679
CESC	-0.144214259031605	0.865702243662533	0.111376028561493	-1.2948410972652	0.19537505146859	0.695929258601879	1.07689160272981
CHOL	-0.0333939220588005	0.967157499866513	0.231682358296621	-0.144136663250149	0.885392553903056	0.614170316923832	1.5230199242339
COAD	-0.0932454256134751	0.910969897512383	0.110998157881579	-0.840062820798847	0.400873164605954	0.732862032834142	1.13236341493152
ESCA	0.00696080778461252	1.0069850905169	0.121167107565702	0.0574479982600731	0.954188329023773	0.794118678981054	1.27691112092267
GBM	-0.0754404047763357	0.927334993623631	0.154035714485812	-0.489759177137353	0.624304321103929	0.685679571374769	1.25415751948795
HNSC	-0.100057874652858	0.904785052399834	0.0669096232727201	-1.49541829349461	0.134805309200731	0.793582062084924	1.03157068456843
KICH	0.0495743531605388	1.05082372137507	0.579900055686876	0.0854877537506343	0.931873630921743	0.337223666280421	3.2744750852875
KIRC	-0.217339100720176	0.804657063246655	0.120802947930055	-1.79912083640555	0.0719995683169271	0.635013812797289	1.01962032381714
KIRP	-0.442260229896488	0.642582394545915	0.280214064741773	-1.57829418842358	0.11449804041936	0.371030984105794	1.11287776888904
LIHC	-0.103741312768395	0.901458463055633	0.0992686377968044	-1.04505627427613	0.29599696152054	0.742075515824831	1.09507367280724
LUAD	-0.045508642002979	0.955511345004384	0.0868606558605246	-0.52392699032867	0.60032932134171	0.805934827308828	1.13284833896653
LUSC	0.00874780312494693	1.0087861769687	0.0852064794539657	0.102665937860666	0.918228108400125	0.853633078614286	1.19213931176974
PAAD	0.0441960431057587	1.04518723655692	0.144663840413296	0.305508570624789	0.759978843389967	0.787147306024625	1.38781693223164
PCPG	-0.0239087946612071	0.976374756287524	0.547118221646544	-0.0436995035355502	0.965143934961547	0.334124766162373	2.85314876734474
PRAD	0.394593648364554	1.48378113151269	0.526475893831346	0.749499935301805	0.453555937624375	0.528728536542271	4.16396372443019
READ	-0.24736268265256	0.780857438721531	0.280139756791071	-0.882997420594764	0.377237665158782	0.45093750604846	1.35215707593244
SARC	-0.181978835384798	0.833618983454041	0.108904446722701	-1.67099545391534	0.0947225757602353	0.673392015905559	1.03197037262231
STAD	-0.109204739802508	0.896546839883118	0.0797776404874275	-1.36886399666982	0.171041791765967	0.766771802124181	1.04828611834402
THCA	0.336975612197675	1.40070490320769	0.449997023864548	0.748839646324209	0.453953860630924	0.579840422031204	3.38364513980794
THYM	1.13688441447955	3.1170418107657	0.363380976789973	3.12862941952144	0.00175623650250509	1.52908694195805	6.35408581648073
UCEC	-0.103451107908605	0.901720108646085	0.115291676123203	-0.897299019211547	0.369559379709151	0.719341807852725	1.13033768572948
