	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.191689333504036	1.21129414999646	0.0674765532628327	2.84082876547314	0.00449964659175903	1.0612396641806	1.38256566102674
BRCA	-0.181722770734774	0.83383247113945	0.0782936811025419	-2.32104006575921	0.0202846815693235	0.715212508392381	0.972125881144514
CESC	0.279400030592553	1.32233621301941	0.120801828362657	2.3128791540619	0.0207292842459238	1.04355462886364	1.67559321946241
CHOL	-0.903335203053212	0.405215926113216	0.418059024499778	-2.16078388484517	0.0307120374835302	0.178580493668724	0.919473025314795
COAD	0.0247490223060942	1.02505782158945	0.121825524758479	0.203151370414037	0.839016720982911	0.807328509465677	1.30150679095568
ESCA	0.244121708256594	1.2764996815863	0.138217217150487	1.76621779319143	0.0773593170249024	0.973576320298331	1.67367611877681
GBM	0.181458443644813	1.19896471107105	0.118916083818113	1.52593692811446	0.12702557286796	0.949696520221997	1.51365867704522
HNSC	0.0358421722269559	1.03649224631792	0.0744485321297245	0.481435579743894	0.630206954411991	0.895767604659373	1.19932465863811
KICH	-0.624611453176386	0.535469443055921	0.35520392315562	-1.75845876821224	0.0786694812619697	0.266922119678324	1.07419918885764
KIRC	-0.0488933727155738	0.952282663599692	0.0852002081538348	-0.573864474923506	0.566059514465871	0.805829810358891	1.12535210255953
KIRP	-0.00690961317481212	0.993114203316483	0.155336112903637	-0.0444816922842565	0.964520444972112	0.732448095516727	1.34654704799681
LIHC	-0.00645022503770433	0.993570533008478	0.0829474132347421	-0.0777628232896199	0.938016719580448	0.844488493888947	1.16897081630643
LUAD	-0.0377408408261933	0.962962469113941	0.0790380117048542	-0.47750240690677	0.633004407329977	0.824768533739586	1.12431146314174
LUSC	0.163057061405595	1.17710385497267	0.0758757079349054	2.14900217531392	0.0316342275083514	1.01444676679554	1.36584149187868
PAAD	0.11350414643887	1.1201965337092	0.127987339717944	0.886838859913866	0.375165662566375	0.871668201904734	1.43958477708844
PCPG	-0.442137470990052	0.642661282099941	0.398910135737849	-1.1083635921465	0.267704821840452	0.294055436438407	1.40454306341944
PRAD	-0.0388498375293495	0.961895138852691	0.377532262396718	-0.102904682324938	0.91803862147455	0.458956669733921	2.01596865055877
READ	0.170661152354792	1.18608877753274	0.272740762431184	0.625726608789736	0.53149427711955	0.694960048580588	2.0242985061694
SARC	-0.0265100002536162	0.973838305156808	0.0965393082290921	-0.274603171909072	0.783621129159753	0.805958064105364	1.17668782884304
STAD	0.0667586481250768	1.06903743284721	0.0963729844895324	0.692711224817654	0.488490793417209	0.885034253187043	1.29129582127826
THCA	0.111540107574048	1.11799858331729	0.231838234038256	0.481111789160898	0.630437049677808	0.709741484647136	1.76109310127321
THYM	0.58225903090734	1.79007770747454	0.246598107238568	2.36116585576239	0.018217580998364	1.10399522433717	2.90252904012441
UCEC	0.100552008904238	1.10578115067455	0.110522525759472	0.909787468330818	0.362934604741665	0.890414529626635	1.37323899431408
