	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0130346851679554	0.987049898435033	0.0221777675245359	-0.587736576891014	0.55670912048745	0.945064300663037	1.03090075597722
BRCA	0.0724654112548829	1.0751556171634	0.0387640106151755	1.86939922120736	0.0615672928575466	0.996495501691664	1.16002490644025
CESC	0.0101118567697649	1.01016315435224	0.0505156659152559	0.200172690719911	0.841345524566103	0.914939780915783	1.11529700609311
CHOL	0.0638794300589961	1.06596386781252	0.141700335928133	0.450806482854028	0.652129028520215	0.807471010404704	1.40720713541447
COAD	0.00633880248301948	1.00635893520812	0.0583537141641498	0.108627232624617	0.91349816005173	0.897598535630386	1.12829763671791
ESCA	-0.03907352833289	0.961679995819816	0.0535078515931386	-0.730239154993478	0.465244012720628	0.865933649686121	1.0680130223548
GBM	-0.0724188945236139	0.930141183144846	0.0659606383333567	-1.09791075940803	0.272243459253318	0.817340608073636	1.05850928246569
HNSC	-0.0477526546583226	0.953369569438366	0.0262591739779197	-1.81851320603138	0.0689857301454282	0.905543747337183	1.00372128746272
KICH	-0.00381469874046838	0.996192567979719	0.15739314563281	-0.0242367526561027	0.980663762352926	0.73176226263453	1.35617765929215
KIRC	-0.129520538087082	0.878516545181652	0.034488183421449	-3.7555047914333	0.000172992451329351	0.821095269477576	0.939953436400821
KIRP	0.0155626325580015	1.01568436097582	0.0478958974893022	0.324926212343709	0.745236917787986	0.924676251114932	1.11564963400648
LIHC	0.0405999257462413	1.04143537070982	0.0297880109099898	1.36296196039815	0.172894499471346	0.982373690482593	1.10404792175644
LUAD	-0.00631774589923835	0.993702169096021	0.0272984040428649	-0.231432793262127	0.816978591248379	0.941932526718359	1.04831712766767
LUSC	0.0118953904639936	1.01196642199097	0.028967878278459	0.41064072244598	0.681335998818582	0.956111627413536	1.07108418083727
PAAD	-0.0745633043545957	0.928148716343736	0.0724042350622483	-1.02981965475488	0.303094672462225	0.805354281284737	1.06966593419766
PCPG	-0.026140855081758	0.974197859225068	0.239155097003983	-0.109305030121614	0.912960557042951	0.609646357380856	1.55674098176529
PRAD	0.0144808341668726	1.01458618937545	0.0927328663124139	0.156156438841081	0.875909712198766	0.845969269935777	1.21681149925168
READ	-0.0203103351748948	0.979894530375609	0.121885597510114	-0.166634414482067	0.867657713427103	0.771667349284111	1.24430985910033
SARC	0.0335579225311032	1.03412734126464	0.0353843665969102	0.948382739569332	0.342934643174353	0.96483887392066	1.10839165673897
STAD	-0.0241230091072593	0.976165625110226	0.0435874545430837	-0.55343927192204	0.57996265357018	0.896234796931595	1.0632250955991
THCA	0.193080413942919	1.21298033012844	0.190618632836168	1.01291469291393	0.311100909667381	0.834831608280882	1.76241683554401
THYM	-0.221231208637678	0.801531337895949	0.165356171025493	-1.33790718100004	0.18092669598434	0.579654322696079	1.10833726321768
UCEC	-0.0438022538948012	0.95714321010236	0.0409276556365644	-1.07023608397615	0.284513056044876	0.883363070151528	1.03708560568182
