	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.00693168705859934	0.99309228167092	0.10908147772297	-0.0635459585192225	0.949331763562064	0.80193521412121	1.22981540472082
BRCA	0.176514547742056	1.19305178284295	0.12588079337669	1.40223574230142	0.160844861661407	0.932200579289685	1.52689516416018
CESC	-0.0981644475351728	0.906499819835009	0.147854546830573	-0.663925794907474	0.506737805783062	0.678443527696972	1.21121639431121
CHOL	-0.321622924697299	0.724971507646755	0.366822965701451	-0.876779686032691	0.380606314828532	0.353248774663781	1.4878570701338
COAD	-0.144226611748453	0.865691549953891	0.133778235714744	-1.0781022113043	0.280988144909467	0.666025623362437	1.12521475657063
ESCA	-0.170349097726897	0.843370346529053	0.183305486159809	-0.929318054225524	0.352724281441624	0.58882794675911	1.20794800131237
GBM	-0.534466533594766	0.585981808387244	0.229052462628554	-2.33338042936256	0.0196281874992857	0.374036792432968	0.918023805966418
HNSC	-0.165981020374106	0.847062310962605	0.0981978454910346	-1.69027150793507	0.0909760234005299	0.698761874390679	1.02683701694369
KICH	-1.57371064424416	0.20727463120332	0.631107450064286	-2.49357006336061	0.0126465622783763	0.0601653594476577	0.714078219342293
KIRC	-0.308980886142648	0.734194803186886	0.118061435882443	-2.61711950081913	0.00886752907685184	0.582528569475395	0.925348621977583
KIRP	-0.281578438347547	0.754591724425944	0.233469045110832	-1.20606326296438	0.227793098494441	0.477510390891054	1.19245294224819
LIHC	-0.0734631615399736	0.929170374366745	0.110295514419066	-0.666057562965358	0.505374308017248	0.748534190512963	1.1533976611131
LUAD	-0.214265955172	0.807133695094293	0.116097407156193	-1.8455705464958	0.064954586417137	0.642870038946619	1.01336936284048
LUSC	-0.0726988966898815	0.929880778057327	0.106893125067733	-0.680108254331751	0.496435918322794	0.754118642906613	1.14660772483724
PAAD	-0.00678825164461701	0.993234736489753	0.200774305066384	-0.0338103605557122	0.97302837414152	0.67011987908424	1.47214740609994
PCPG	1.49553391670816	4.46171810285881	0.788707740345835	1.89618262913509	0.057935899339979	0.95093948764518	20.9339591930016
PRAD	0.33388611710118	1.39638411024875	0.532502571625731	0.627013154287358	0.53065061254868	0.491742661547924	3.96526219062886
READ	-0.202834875051204	0.816413040457464	0.35150460326049	-0.577047564014087	0.56390732498485	0.409929027534715	1.62596500335063
SARC	0.0596707703222591	1.0614870159824	0.142987139091875	0.417315646017075	0.676447545812526	0.802054376292738	1.40483577972271
STAD	-0.104069554714712	0.901162615132701	0.142095018494212	-0.732394110768567	0.463928052309229	0.682105682582089	1.19056926169953
THCA	0.510686767577312	1.66643525575233	0.566109912328727	0.902098261230883	0.36700467246463	0.549433093250149	5.05431233708012
THYM	0.424842647554037	1.5293497538047	0.440496672393993	0.964462785258104	0.334813957578142	0.644993547799564	3.62625436710466
UCEC	-0.188979997608416	0.827803064570186	0.146330783009175	-1.29145757114255	0.19654505850756	0.621398272440335	1.10276765176812
