	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0137839894639408	0.986310574729589	0.0145990443752925	-0.944170666901244	0.34508244221822	0.958488618693092	1.0149401159816
BRCA	-0.00306292208283586	0.996941763877542	0.0164568187026678	-0.186118723076127	0.852351659549448	0.965298697895543	1.02962210840029
CESC	-0.0206994373477867	0.979513325453276	0.024414744018235	-0.847825286733569	0.396535278310604	0.933745411769028	1.02752457216664
CHOL	0.00225203933110311	1.00225457707635	0.0492201568951059	0.0457544118744375	0.963505994781909	0.91008461935088	1.10375916251279
COAD	0.0220406218432081	1.0222853107406	0.0458265989605867	0.480956962618242	0.630547086716206	0.934468031706468	1.1183552792572
ESCA	0.0454918432670955	1.04654246821175	0.039865178587548	1.14114234223712	0.253810693407371	0.967884544527143	1.131592754491
GBM	-0.00391580753458581	0.996091849242323	0.023925657903197	-0.163665615818346	0.869994387091297	0.950459967420175	1.04391453205558
HNSC	-0.00989202542053615	0.990156739735076	0.0126966635306977	-0.779104321117075	0.435918264905173	0.965820742591678	1.01510593633759
KICH	-0.0122986138202407	0.987776705041979	0.107284113210886	-0.114635927465473	0.908733701419346	0.800457682460711	1.21893116950811
KIRC	0.0415274474484308	1.04240177272773	0.0176201453580748	2.3568163942189	0.0184323579413234	1.0070171024369	1.07902979319459
KIRP	0.145034920657472	1.15607994063476	0.0366639807004372	3.95578761189297	7.62829110482379e-05	1.07591863296014	1.2422136657871
LIHC	-0.0425060676027622	0.958384650405953	0.0298223629596505	-1.42530850624656	0.154068042360254	0.903972061093518	1.01607248461047
LUAD	0.0318981648040025	1.03241236403623	0.0153806491745058	2.07391537522846	0.0380871708507145	1.00175418314544	1.06400882307084
LUSC	0.00725236389979638	1.00727872598147	0.0136516525729962	0.531244394114013	0.595249432920882	0.98068459637506	1.03459403315315
PAAD	0.109333395669753	1.11553420262365	0.0474292264185272	2.30519036311004	0.0211559143562527	1.01650860571382	1.22420661293794
PCPG	0.00274217304639277	1.00274593624189	0.0826235196898631	0.0331887706634362	0.973524052903165	0.852828378030794	1.17901730119647
PRAD	0.0495515181950809	1.05079972612565	0.0779049116356805	0.63605127269519	0.524743003762308	0.902001313394033	1.22414463042294
READ	0.18783151883237	1.20663020375737	0.138601410791768	1.35519196925466	0.175356402659651	0.919594695364474	1.58325885953757
SARC	0.0177870803480337	1.01794621256067	0.0194261273665411	0.915626671874374	0.359862737126751	0.979916975631743	1.0574513121365
STAD	0.00360330282100203	1.00360980252106	0.0220151339024623	0.163673899825747	0.869987865348832	0.961226153047927	1.04786228768595
THCA	-0.0363932921953378	0.964260982579286	0.0587375803082202	-0.61959127366785	0.535526913334514	0.85940341483506	1.08191243655137
THYM	-0.040614919631828	0.960198812476715	0.0557794463918133	-0.728134147236517	0.466531472517012	0.860759081929736	1.07112638000252
UCEC	0.0547233400495499	1.05624835263186	0.0194981117530448	2.80659690244131	0.00500678509861386	1.01664474888703	1.09739472284579
