	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.153574734062096	0.857636667131803	0.0640459283616469	-2.39788442436042	0.0164900673841314	0.756462401935972	0.972342645089193
BRCA	-0.0645209237272462	0.937516497717338	0.0840981589071667	-0.76720970548795	0.4429568433347	0.795049989562832	1.10551184834991
CESC	-0.203010657893752	0.816269541665202	0.0986118249329944	-2.05868472702635	0.0395244502568772	0.672814052995184	0.990312199461576
CHOL	0.0347911339906259	1.0354034256317	0.185828030922565	0.187222206563247	0.851486414354909	0.7193371514904	1.49034462016686
COAD	0.0385888526633203	1.03934307265551	0.0541702390274707	0.712362606407389	0.476240264840312	0.934650267739268	1.1557628130679
ESCA	0.0387514616175	1.03951209288732	0.133951356023732	0.289295030433544	0.772355614953248	0.799484309837591	1.35160299953665
GBM	-0.0761026935153055	0.926721033432004	0.0887546927364016	-0.857449799768086	0.391196347081211	0.778755072905308	1.10280100083497
HNSC	-0.0613823932887408	0.940463544060225	0.042152580775793	-1.45619537781636	0.145338616933359	0.865887805671299	1.02146221706011
KICH	0.0891970169835388	1.09329603299574	0.249320392982203	0.357760614431191	0.720522467410019	0.670680792770773	1.78221328036861
KIRC	0.15688116846171	1.16985658978271	0.0566803906772079	2.76782087397986	0.00564324628636002	1.04685417584649	1.30731144053699
KIRP	-0.0421821885557206	0.958695101384796	0.0988404230650031	-0.42677061922306	0.669546408324587	0.789855028980851	1.16362656904915
LIHC	0.0349572541704535	1.03557544132221	0.0511537774229658	0.683375811749128	0.494369400358429	0.936784223902688	1.14478496467623
LUAD	-0.171883417253953	0.84207733913474	0.0639865846021191	-2.68624147268928	0.00722608446693143	0.742824981479151	0.954591273535603
LUSC	0.0113064628575513	1.01137062248688	0.0541373437808761	0.208847757719973	0.834567088029384	0.909554116725648	1.1245845818518
PAAD	-0.327123997743676	0.720994335812731	0.091965645240661	-3.55702389612598	0.000375080048843556	0.602074943697188	0.863402202194101
PCPG	0.240118414752034	1.27139969388743	0.265012809104819	0.906063429775807	0.364902280341976	0.756315133400506	2.13727996470097
PRAD	0.463154791994214	1.58907930013328	0.327931085685009	1.41235403477148	0.157845743499011	0.835622497947299	3.02190645694095
READ	-0.173271924766947	0.84090891979007	0.112185389590813	-1.54451417781712	0.12246381928377	0.674926658588029	1.04771059549172
SARC	-0.0188727527446249	0.98130422256758	0.0794338046118079	-0.23759094552824	0.812198373873221	0.839826338047002	1.14661559611038
STAD	0.137503313261438	1.1474055076202	0.0714081115304901	1.92559795118971	0.0541545947474069	0.997548995087315	1.31977417189611
THCA	-0.00181787611392538	0.998183775222064	0.195187309081565	-0.00931349544434639	0.992569013206785	0.680874027115578	1.46337032907181
THYM	-0.510162287478962	0.600398133805919	0.359199952148331	-1.42027381804408	0.155527980379015	0.296953043035086	1.21392229354941
UCEC	0.00623981630662257	1.00625932451516	0.0684543769813486	0.0911529193863339	0.927371084032371	0.879916469391726	1.1507431255079
