	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.138951629582402	0.870270122769445	0.0927812503474672	-1.49762618052706	0.13423040079171	0.725568684851603	1.04382962274625
BRCA	0.0126255804677832	1.01270561960099	0.0754052490792995	0.16743636049137	0.867026717444062	0.873570893896313	1.17400050658414
CESC	-0.382984869704764	0.681823215394495	0.203551581396301	-1.88151262239087	0.059902219874291	0.457518188744763	1.01609708310468
CHOL	0.397906085217581	1.48870421200974	0.247181400809366	1.60977356675982	0.10744729784206	0.917080010556269	2.41662690860664
COAD	-0.110584939659579	0.895310279609309	0.150771655460751	-0.733459742957896	0.463278072569712	0.666248900188686	1.20312468290317
ESCA	0.0466536642766547	1.04775906983853	0.170061332850941	0.27433434452467	0.783827693424808	0.750766628429255	1.4622374341887
GBM	-0.00122051088513104	0.99878023363535	0.0935360990228419	-0.0130485544926669	0.989589055266537	0.831480114187633	1.19974240884319
HNSC	0.0396147263981252	1.04040985451339	0.090638323659694	0.437063758447924	0.662065109579115	0.871069838304302	1.2426703551988
KICH	1.13653197359843	3.11594343137172	0.271914266686555	4.17974381207646	2.91837680877828e-05	1.82867160437116	5.30937509189754
KIRC	0.421891412675846	1.52484293707879	0.0840741889205456	5.01808483783953	5.21891308981023e-07	1.29318611562371	1.79799794837548
KIRP	0.741134315093574	2.09831431468303	0.121334693896082	6.10818135601287	1.00772808942168e-09	1.65420856332988	2.66164923867928
LIHC	0.125705536131619	1.13394821233931	0.0639384271794896	1.96604048108245	0.0492939346926611	1.00038859711599	1.28533906921215
LUAD	0.246476851484526	1.27950956412784	0.0736776743707154	3.34533973268967	0.000821818390209288	1.10746239028869	1.47828471562619
LUSC	-0.132206055219674	0.876160439046018	0.0868231785450217	-1.5227046214522	0.127832621242047	0.739059861308122	1.03869409656557
PAAD	0.346888073724671	1.41465837906581	0.115407516149466	3.00576674118358	0.0026491213060379	1.12827904017654	1.77372640827215
PCPG	0.360171376833919	1.43357507506703	0.304585708094133	1.18249598475122	0.237008957785798	0.789144650292157	2.6042595550671
PRAD	0.682602425496373	1.97902129193003	0.359724236901229	1.8975714046307	0.0577525642911032	0.977805872333796	4.005422123887
READ	-0.111273670994953	0.894693863661715	0.272411189772692	-0.408476873096892	0.682923606090334	0.524562974836265	1.52598858111132
SARC	0.282521433856369	1.32647020616393	0.105489228180523	2.6782017342367	0.00740186228421596	1.07871049954127	1.63113570192265
STAD	-0.0696862124044741	0.932686439428567	0.0906036919835338	-0.769132149903326	0.441814864238566	0.780932792830864	1.11392939607588
THCA	-0.239183049814643	0.787270759415665	0.415055545709966	-0.576267567767375	0.564434340908664	0.349002228647796	1.77590627725303
THYM	-0.603010762652772	0.547161779426373	0.246900526516639	-2.44232270850234	0.0145930953981708	0.337251309040072	0.887723797773199
UCEC	0.201984947763629	1.2238295866005	0.131139248499537	1.54023261590021	0.12350366227295	0.946444207435938	1.58251151549272
