	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.00728847752173885	0.992738019018328	0.0716961228056967	-0.101657903335879	0.919028217245613	0.862594737048761	1.14251656319661
BRCA	0.0419085871335935	1.04279914913434	0.0963673560307724	0.434883645870818	0.663646885899289	0.863321637822586	1.25958856791538
CESC	0.116275438037969	1.1233052305155	0.140198136081963	0.829365077792418	0.406897856245952	0.853416256439936	1.47854535390174
CHOL	-0.0736381524647112	0.929007792209312	0.320693629895947	-0.22962150039776	0.818385898341452	0.495500895904406	1.74178389003786
COAD	0.00169149445662621	1.00169292584032	0.078840250271414	0.0214547068382344	0.982882933844235	0.858273421993732	1.16907816549616
ESCA	0.29855744708027	1.34791296863717	0.154425143487123	1.93334738332405	0.0531934183767362	0.995898163146428	1.82435256761602
GBM	-0.235003512335473	0.790568072883573	0.148982870490363	-1.57738612205538	0.114706706732756	0.590370736301096	1.05865321472182
HNSC	0.0936047770477218	1.098125655678	0.0840257811329746	1.11400067676357	0.265278896318363	0.93138483757232	1.29471718564949
KICH	2.59544290550924	13.402522097922	0.84268645278638	3.0799627749174	0.00207026468452261	2.56974791818785	69.9008635492766
KIRC	0.594125275153302	1.81144573515705	0.0993830843556176	5.9781327879438	2.2570972213806e-09	1.49083745014282	2.20100162569991
KIRP	0.639967826703955	1.89641986424571	0.132882706351913	4.81603546671551	1.46438506711847e-06	1.46158652703963	2.46061949461867
LIHC	0.0731183073166786	1.07585781123659	0.0870802207679705	0.839666076542295	0.401095639527347	0.907051736494886	1.27607939374174
LUAD	-0.0536852057063057	0.947730399670618	0.0786619155089357	-0.682480274717023	0.494935311372906	0.812320975372949	1.10571182782453
LUSC	-0.0121919919770564	0.987882029229755	0.0839928406224297	-0.145155133303119	0.884588389106307	0.837934842958133	1.1646620401055
PAAD	-0.128583280397811	0.879340327556654	0.196111728822047	-0.65566338724436	0.512040731125299	0.598723610329309	1.2914797384425
PCPG	3.35063337623993	28.5207923163937	1.05641066545209	3.17171483194561	0.00151541734807194	3.59702285669243	226.141347098039
PRAD	0.915253816602684	2.49740905534851	0.34416399098223	2.65935379814311	0.00782907009864898	1.27214542918377	4.90278221864815
READ	0.242046380161724	1.27385327296692	0.195859628479318	1.23581557894808	0.216527122762131	0.867767517061734	1.86997338474137
SARC	-0.0871008375009365	0.916584664865985	0.0756283711682946	-1.15169527196497	0.249446315827724	0.790310224628491	1.06303502306631
STAD	-0.0964499591608368	0.90805533631388	0.0937094880808482	-1.02924432878797	0.303364876499249	0.755695183294244	1.09113371639297
THCA	-0.173135749743252	0.841023438379257	0.414086124445262	-0.418115313511643	0.675862809192413	0.373540203558041	1.89355902568427
THYM	-0.69025740808875	0.501446975944274	0.280678525843883	-2.45924552301761	0.0139229364267377	0.289275079910257	0.869238614545246
UCEC	0.252473951525572	1.2872059659664	0.0975560183349531	2.5879895042325	0.00965379221406748	1.06318345747778	1.55843207225045
