	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.00750568131762963	1.00753391954849	0.0645092756193427	0.116350420084071	0.907374827471106	0.887869793604265	1.14332597679655
BRCA	0.0559710858025046	1.0575671045904	0.0666094798088734	0.840287087710424	0.400747439404814	0.928132203520934	1.20505266002926
CESC	-0.392447757052448	0.675401630402859	0.160673479452462	-2.44251732389078	0.0145852295833553	0.492942871950701	0.925396000850299
CHOL	0.502700832470073	1.65318020935481	0.27938803832643	1.79929260923737	0.0719724065843264	0.956102972069876	2.85848374541259
COAD	0.0352179480138901	1.03584544465675	0.125217286175471	0.281254682077505	0.778515066329294	0.810419371154465	1.32397598503557
ESCA	0.10026221324975	1.10546074653038	0.194616977598406	0.515177116030661	0.606429258595005	0.754892402130827	1.61883131777462
GBM	0.0304335551916353	1.03090138972778	0.0985578094793527	0.308788875812129	0.757482131717125	0.849815338619137	1.25057483319792
HNSC	-0.104720592537018	0.900576115123761	0.0711575797828683	-1.47167164561477	0.141109567986692	0.783341224965712	1.03535638529289
KICH	0.950040128685777	2.5858134225282	0.289367901513048	3.28315657582684	0.00102651633381136	1.46651591748164	4.55939889667835
KIRC	0.319393036174043	1.37629215121841	0.0905361730714316	3.52779475140889	0.000419036939193892	1.15251371686842	1.64352064342644
KIRP	0.477339617395708	1.61178073989072	0.157152103876806	3.03743701560561	0.0023859926164295	1.18450759158642	2.19317898165885
LIHC	0.160555867883243	1.17416336933027	0.0575113808895756	2.79172340152147	0.0052428151938491	1.04899822008385	1.31426306687803
LUAD	0.10276669655738	1.10823282437968	0.0616829347533672	1.66604745653367	0.0957039626337126	0.982033719127675	1.25064951346429
LUSC	-0.0314314018874709	0.969057429684353	0.0816197304925681	-0.385095634324997	0.700166562372424	0.825799613070986	1.1371672826707
PAAD	0.281514551317323	1.32513527864516	0.103974421698765	2.70753659138328	0.00677845979067154	1.08082909748448	1.62466342810059
PCPG	0.573275544370471	1.77406858502275	0.394253752306894	1.45407758585953	0.145924797022014	0.819183135938947	3.84202165094274
PRAD	0.60952102613243	1.83955009131504	0.337023412424	1.80854208836272	0.070522172441693	0.950247573964845	3.56111884015434
READ	0.0687877264773021	1.07120879574766	0.279496862578162	0.24611269637442	0.805594995023483	0.619392538427481	1.85260269198658
SARC	0.146523572169137	1.15780222240661	0.0847357071477712	1.72918332897858	0.0837762890635734	0.980634603748749	1.36697805796902
STAD	-0.165681231279879	0.847316289073594	0.0887543655628634	-1.86673895113958	0.0619380514853662	0.712029033329186	1.00830845390194
THCA	-0.71486240815238	0.489259425273621	0.248347137857223	-2.87848055878687	0.00399595909744308	0.300708520446646	0.796035924966568
THYM	-0.402619961072093	0.668566132205429	0.196780032293291	-2.04604073075874	0.0407523634751392	0.454616197832093	0.983204459637873
UCEC	0.346777957698931	1.41450261108376	0.0931246190528535	3.72380538278621	0.000196242226166626	1.17851722377052	1.697741531822
