	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.00246036689736332	1.00246339608379	0.0855648806205633	0.0287544010991354	0.977060468478438	0.847687082767292	1.18549979221958
BRCA	-0.0145653615885545	0.985540200154089	0.0828739899935667	-0.17575311131617	0.860487907872514	0.837783640638624	1.1593559948
CESC	-0.421490051689596	0.656068515134326	0.182486616482809	-2.30970391041966	0.0209045521780868	0.458792496878474	0.93817117646667
CHOL	0.423770780855233	1.52771137295257	0.347723012224825	1.21870214497405	0.222957263555294	0.772785468701113	3.02011636291689
COAD	-0.22465019266573	0.798795594450217	0.188938750803291	-1.18901068050153	0.234435464085928	0.551582786784597	1.15680622564869
ESCA	0.215986233927212	1.24108529401258	0.209412031124882	1.03139362512753	0.302356269100082	0.823284208986424	1.87091248708707
GBM	-0.0239057743253021	0.976377705271711	0.104044725520344	-0.229764403776795	0.818274846409065	0.7962598600003	1.19723908141155
HNSC	-0.235709781875375	0.790009915862329	0.0845825577845077	-2.78674218478822	0.00532408181218046	0.66932298417153	0.932458143407877
KICH	0.773427571200312	2.16718170763394	0.20940291093393	3.6934900654	0.000221197155671529	1.43764363329533	3.26692682743466
KIRC	0.597735426245835	1.81799714663406	0.103086599896598	5.79838142731836	6.69580202993316e-09	1.48540788290021	2.22505458818251
KIRP	0.606755533482206	1.83446985697094	0.191978058008391	3.16054626125911	0.00157473596220751	1.25921115062149	2.67253006334483
LIHC	0.402274795462968	1.49522215649193	0.0935816030842421	4.29865253644822	1.71839618954473e-05	1.24465480175265	1.79623241248594
LUAD	0.0825793552077721	1.08608485650892	0.0703185619995872	1.17436069310201	0.240250582423163	0.946255659040835	1.24657676207049
LUSC	-0.128986600055776	0.87898574382661	0.0775165659348038	-1.66398754253719	0.0961149189142514	0.755091550991391	1.02320829419429
PAAD	0.416628734930273	1.51683925895005	0.138572716366144	3.00657117689341	0.00264212190899264	1.15607564112975	1.99018235108193
PCPG	2.07568537161941	7.97000700417684	0.709539378721692	2.92539841179635	0.00344015476699713	1.98379910011323	32.0198812687243
PRAD	1.00952630545872	2.74430074679285	0.419892726148926	2.4042481390846	0.0162057689231768	1.20508690519578	6.24949665984819
READ	-0.215190096001349	0.806388134446491	0.36679305243083	-0.586679858234037	0.557418737673935	0.392942782802616	1.65485116875842
SARC	0.129704480076444	1.13849188657103	0.0860757028422247	1.50686518719679	0.131845216371573	0.961749942209833	1.34771391075923
STAD	-0.225730945410551	0.797932760258159	0.0960392565684064	-2.35040288186496	0.0187531007594234	0.661024463893365	0.96319686285607
THCA	-0.261845345480236	0.769630041268465	0.328959474448756	-0.795980556325412	0.426043336844687	0.403897531629137	1.46653632180843
THYM	-0.435443013391143	0.646977983669889	0.211702342124727	-2.05686441170592	0.0396992701082178	0.427255971966232	0.979694934227009
UCEC	0.405642782012417	1.50026653453379	0.143545622285448	2.82588054970967	0.00471508433968032	1.13235386462989	1.98771757217229
