	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0707725821474675	0.931673747279724	0.0930296902391729	-0.760752636771293	0.44680482883602	0.776384474622721	1.11802335021196
BRCA	0.0336510291752903	1.03422362987353	0.0917500563303268	0.366768485178219	0.713791717060168	0.864005817648164	1.23797605842552
CESC	-0.127592274547479	0.88021219090518	0.145309958573262	-0.878069719379556	0.379905884483863	0.662063000969206	1.17024135147847
CHOL	0.0749427532139633	1.07782244724746	0.247362332690868	0.302967522980227	0.761914612002012	0.663730881908427	1.75025941907397
COAD	0.0519614985501021	1.05333518680072	0.129575528550288	0.401013209295428	0.688410398653234	0.817093399415458	1.35788028216389
ESCA	-0.0314549198348754	0.969034639710678	0.173878001464993	-0.18090223932789	0.856444311124402	0.689182242245266	1.36252514269661
GBM	-0.0425572200461165	0.958335627943232	0.130610575570994	-0.325832880377931	0.744550800167757	0.741893747012227	1.2379227881135
HNSC	-0.00499888127371694	0.995013592339917	0.0885572319214959	-0.0564480298813805	0.95498489561037	0.836467286918839	1.18361119965382
KICH	0.247228086629097	1.28047113781898	0.473049021772869	0.522626779149755	0.60123400128084	0.506651970933223	3.23615899838972
KIRC	0.606156213644835	1.83337075218515	0.0861632918358354	7.03497046978809	1.99303208672836e-12	1.5484884550868	2.17066411049188
KIRP	0.643130696458973	1.90242748893614	0.196327027847448	3.2758133381345	0.00105358169972791	1.29477481588802	2.79525853163712
LIHC	0.252245935333179	1.28691249562248	0.0851416884680221	2.96266071147882	0.00304992547812151	1.08912137407324	1.52062369797723
LUAD	0.354430326942588	1.42536842896114	0.0892450862645481	3.97142679533027	7.14434550224254e-05	1.19663466611555	1.69782408600468
LUSC	-0.110560182407698	0.895332445305792	0.0891203523872369	-1.24057164773433	0.214764031125848	0.751839158128707	1.0662123393685
PAAD	0.00771126458853689	1.00774107296013	0.125787503830245	0.0613039002581968	0.951117184689808	0.78755055570371	1.28949444930987
PCPG	-0.268592755276742	0.764454512331394	0.603315791264188	-0.445194306474116	0.656179340913944	0.234319437399251	2.49399156941513
PRAD	0.623434277741658	1.8653230919475	0.433156847334214	1.43928067068193	0.150071017090788	0.798087097548703	4.35971242742745
READ	0.127441472101525	1.13591838337975	0.228340493465458	0.558120332348337	0.576762217433563	0.726078116614661	1.77709607847175
SARC	0.200606944149776	1.22214430643518	0.106812415148913	1.87812384796372	0.060364224623248	0.991296553552736	1.50675062916223
STAD	-0.135170521967798	0.873566936633597	0.0932015284289763	-1.45030370473811	0.146973846418393	0.72771764158036	1.0486473725196
THCA	-0.382120847834814	0.682412580139385	0.367019778562378	-1.04114511030328	0.297808206055397	0.332383320775916	1.40105384483611
THYM	-0.518280205892291	0.595543880614006	0.231067100292774	-2.24298571815547	0.0248977354900126	0.378642269160694	0.936695510839198
UCEC	-0.164066060412784	0.848685955483799	0.13278262493714	-1.23559886310768	0.216607707516873	0.654217624918969	1.10096063389405
