	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.027711188629097	0.97266924417685	0.0230583592752457	-1.20178492746647	0.229446866639075	0.929689385832959	1.01763607607493
BRCA	-0.081398717512124	0.92182606996369	0.0335779052497489	-2.42417497180629	0.015343211009068	0.863112529954105	0.984533619631135
CESC	-0.0132147559964308	0.986872175543909	0.0466821472996351	-0.283079437447688	0.777115943724675	0.900585579429028	1.08142603335957
CHOL	0.0425902468112801	1.04351022559478	0.083549794820541	0.509758843845887	0.610220422267897	0.885888359006275	1.22917699487814
COAD	-0.00671139379282945	0.993311077311579	0.0658968887854471	-0.10184689924711	0.918878198950899	0.872958795928501	1.13025597646959
ESCA	-0.00224074955872457	0.997761759046499	0.0576088865304677	-0.038895901199887	0.968973384466522	0.891230584246224	1.11702689002482
GBM	-0.177743030895405	0.837157519469257	0.0760735055425751	-2.33646431339922	0.0194670554350246	0.721195979837883	0.97176458548959
HNSC	-0.0349862913041002	0.96561865353931	0.0367726984827698	-0.951420285908401	0.341391066511282	0.898472251885716	1.03778317260895
KICH	-0.128364694217041	0.879532560209387	0.131202843752833	-0.978368231551907	0.327892234548095	0.680098565098455	1.13744913482723
KIRC	-0.146137980704128	0.86403847432211	0.0420834552209265	-3.47257562234242	0.000515489762233365	0.795630786114995	0.938327799951392
KIRP	0.083294154150259	1.08686146634268	0.0833920841749435	0.998825667619973	0.31787914966779	0.922976664133002	1.27984584326429
LIHC	-0.000574936230498697	0.999425229013666	0.0237006461104415	-0.0242582513497556	0.980646613919061	0.954061304594446	1.04694612765331
LUAD	0.00269245915759284	1.00269608708103	0.0336633210417712	0.0799819825932176	0.936251585863981	0.93867456340971	1.07108414592117
LUSC	0.0140328020156562	1.0141317239576	0.0374607321672027	0.374600313550254	0.707957739808669	0.94234023697752	1.09139259174151
PAAD	0.189792611489744	1.20899883918778	0.069088245389745	2.74710423486765	0.00601240229382809	1.05588802081957	1.38431174929218
PCPG	-0.0968895656458359	0.907656237029043	0.102388507282985	-0.946293370388231	0.343998973848586	0.742622564160523	1.10936548978822
PRAD	0.241793001828825	1.27353054703587	0.130707272457682	1.84988177996835	0.064330590478051	0.985714475707187	1.64538524512373
READ	-0.0340686331019991	0.966505168113306	0.138773374487112	-0.245498340210521	0.806070593179499	0.736342843228326	1.26861046940341
SARC	-0.107660050130648	0.897932796688023	0.0310767272777185	-3.46433037071565	0.000531553261158065	0.844872697895568	0.954325201153129
STAD	0.0249367064234573	1.02525022671707	0.0436544326522169	0.571229653174543	0.567843979937818	0.941176670565685	1.11683391679442
THCA	0.485665428795076	1.62525614133181	0.171576541190861	2.83060507820136	0.00464600473751658	1.16111597199038	2.27492997138674
THYM	-0.0845329320592468	0.918941392246147	0.176264109683868	-0.479581079840119	0.631525302462161	0.650506337346886	1.29814766421403
UCEC	-0.0250346534744579	0.975276114736808	0.0282710950896017	-0.885521179675343	0.375875601666989	0.922705667927336	1.03084172238013
