	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.270143484931746	1.31015242437842	0.122421467005896	2.20666760118741	0.0273372903155486	1.03066251989957	1.66543300252338
BRCA	-0.065578266259775	0.936525745523873	0.159319746173702	-0.41161417736805	0.680622238481788	0.685340673490631	1.27977297416456
CESC	0.199136821931602	1.22034892497492	0.214641755321984	0.927763666640152	0.353530174845094	0.801273222700313	1.85860634861681
CHOL	-0.0943221931227487	0.909989522637445	0.393546553425587	-0.239672263171232	0.810584339072828	0.420774059944736	1.96799425187637
COAD	-0.229413249269755	0.794999932471153	0.138937713626618	-1.65119493679219	0.0986987766606232	0.605484591381637	1.04383315715259
ESCA	0.409541688973774	1.50612735213603	0.205362256214944	1.99424030745516	0.0461257991559767	1.00706389544412	2.25250811901257
GBM	-0.135527042584647	0.873255547522107	0.187515465728218	-0.722751278452295	0.46983270531524	0.604683195467368	1.26111533608724
HNSC	0.366247173979559	1.44231170052193	0.116037098412249	3.15629379733694	0.00159787822976287	1.1489157140078	1.81063155120911
KICH	0.883146965248576	2.41849867458418	0.582170070413622	1.5169913572182	0.129268866148319	0.772683772236656	7.56989605467474
KIRC	-0.243050982561289	0.784231530620269	0.134103652809401	-1.8124113509923	0.0699226602414901	0.602969109096437	1.01998441436018
KIRP	0.868798019222585	2.38404355612433	0.206477044155898	4.20772208733581	2.57957837323536e-05	1.59059864083581	3.57328588845729
LIHC	0.385938015023613	1.47099348849216	0.126927262049953	3.0406234940428	0.00236088851253473	1.14701756598323	1.8864766393804
LUAD	0.201188388227747	1.22285512163421	0.110259455144337	1.82468150204786	0.0680491062880546	0.985194522229921	1.5178471000045
LUSC	0.0219776860396057	1.02222097441761	0.121504616959615	0.180879431494447	0.856462213831737	0.805600765659691	1.29708878774912
PAAD	0.781944813535157	2.18571895045338	0.288498979164432	2.71039022668251	0.00672040899432663	1.24171961448972	3.84738009662051
PCPG	0.766881626717498	2.15304178655134	0.912747409741689	0.840190416902448	0.400801630659422	0.359849128325565	12.8820346354772
PRAD	0.522422039677402	1.68610652500988	0.706997466716356	0.738930568031293	0.45994915943804	0.421781643110798	6.7403483772149
READ	-0.162016578322141	0.85042710576885	0.295687650353039	-0.547931501801647	0.583738937404481	0.476373187920938	1.51819262831059
SARC	0.331616538375174	1.3932185002382	0.145869935805154	2.27337138763214	0.0230038088737975	1.046777835392	1.85431686053906
STAD	0.00229768277211866	1.00230032446805	0.134375152500588	0.0170990151777398	0.986357624572574	0.770224863270032	1.30430214387478
THCA	-0.0702680910858787	0.9321438869382	0.691042608421555	-0.101684165678845	0.919007370950617	0.240583822615965	3.61159872059742
THYM	0.696238031930096	2.00619126595278	1.08672874530926	0.640673245219038	0.521735000470827	0.238422452126983	16.8809747558574
UCEC	0.245890584590781	1.27875964987659	0.161845557008269	1.51929153407787	0.128689129755572	0.931163054257093	1.75611160116005
