	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.157331434432292	1.17038345500139	0.125035957027808	1.25828952064805	0.208287069645957	0.91600400860183	1.49540549918752
BRCA	0.0530942781644396	1.05452905949706	0.141602117446418	0.374953984600763	0.707694689071012	0.798962896141058	1.39184377984859
CESC	0.179713789054447	1.19687475543965	0.266273437694806	0.67492195470293	0.499725351109207	0.710225638403023	2.01697756705854
CHOL	0.157665296040713	1.17077426633896	0.488396881229567	0.322822077904718	0.746829991720921	0.449519968914465	3.04928029344645
COAD	-0.0249166490682162	0.975391208406296	0.237869272851454	-0.104749338868061	0.91657471052378	0.611933381051566	1.554724809752
ESCA	0.0753600006584309	1.07827225974419	0.238738815146508	0.315658769656641	0.752261524767987	0.675326177607539	1.72164371038128
GBM	-0.21916817513524	0.803186630774522	0.236125088743496	-0.92818673484258	0.353310714169756	0.505622545828898	1.27587024980732
HNSC	0.00581925666229731	1.00583622142783	0.133698576387616	0.0435251954024272	0.965282880526954	0.773967699758233	1.30716889690905
KICH	1.89356463162879	6.64300639685128	0.713765550741619	2.65292241921922	0.0079798209529416	1.63985833788998	26.910576949829
KIRC	0.118456641327004	1.1257580616681	0.164574045647542	0.719777173009986	0.471662201702921	0.81537874089498	1.55428532760086
KIRP	1.1790186654242	3.25118213945905	0.276721410599757	4.26067019125419	2.03814810269152e-05	1.89014711921679	5.59225533106515
LIHC	0.125007056829453	1.13315644953042	0.13764582305892	0.908179079113378	0.363783615453955	0.865217984160419	1.4840694051897
LUAD	0.30241741564366	1.35312592477322	0.141878586253195	2.13152261824748	0.0330461111062136	1.02463914445032	1.7869215500991
LUSC	-0.133601600025251	0.874938570680785	0.122631409470828	-1.0894566131284	0.275952577702717	0.688008046267138	1.11265777576052
PAAD	-0.0670258131306335	0.935171061332443	0.239952518091343	-0.279329484282047	0.779991981240162	0.584309712801689	1.49671466140845
PCPG	0.764774839037703	2.14851055948404	0.859700325696799	0.889583051417182	0.373689810157033	0.398436621195232	11.5855254729523
PRAD	-0.456580820406549	0.633445811976606	0.827779102977167	-0.551573262437314	0.581240759378006	0.125055448830051	3.20860546633198
READ	-0.424775770746804	0.653916395877124	0.475486475573692	-0.893349848140887	0.371669851033527	0.257506030944964	1.66056946793731
SARC	0.281128100296864	1.3246232777025	0.157783810889436	1.78172968894673	0.0747933229610822	0.972269269754641	1.80467169169516
STAD	-0.240493607051928	0.786239671821444	0.177157874099847	-1.35751012069825	0.174619179889797	0.555594448604011	1.11263318612905
THCA	0.380773606777254	1.4634162603806	0.651666463619686	0.584307507037027	0.559013442403647	0.40800771646602	5.24888884380869
THYM	1.6255491059096	5.08120839284057	0.903889226941937	1.79839415877231	0.0721145677717396	0.864122079095107	29.8785083220073
UCEC	0.201605990071232	1.22336589482981	0.170097247160269	1.1852395816922	0.235922734156045	0.876535136423801	1.70743196757502
