	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0684528555852012	0.933837484287481	0.0855721266720455	-0.799943372303299	0.423743607040722	0.7896455208993	1.10435939162578
BRCA	-0.005748500441774	0.994267990572225	0.145755442681524	-0.0394393535913062	0.968540104674624	0.747198859339735	1.32303311858651
CESC	-0.433571987514052	0.648189629376007	0.203911985094119	-2.12627024995088	0.0334807636890919	0.434642191644813	0.966656720647933
CHOL	0.146732007190705	1.15804357409	0.358973298610916	0.408754656010627	0.682719719247909	0.573015375383013	2.3403646343604
COAD	0.250059173534185	1.28410139925769	0.185651028089267	1.34693126188317	0.178002371981967	0.892427362483417	1.84767575815582
ESCA	0.308672104610233	1.36161582974489	0.239284856460486	1.28997759898444	0.197058435945148	0.851873194395933	2.17637751722724
GBM	0.137504183331216	1.14740650594349	0.183193900640325	0.750593676157295	0.452897228138069	0.801276447003577	1.64305552073161
HNSC	-0.0669775124698358	0.935216231803537	0.129638259124818	-0.516649274080029	0.605401012270394	0.725376947705878	1.20575847219155
KICH	-1.63168283667156	0.195600133929294	0.604482267099055	-2.69930637420036	0.00694841760881536	0.0598181406020545	0.639595480703451
KIRC	-0.400834944480366	0.669760599598981	0.122636842555076	-3.26847084554015	0.00108130316886599	0.5266607167169	0.851742396075299
KIRP	-0.908082976205772	0.403296612656003	0.246207453505739	-3.6882838568679	0.000225771698491694	0.24891576876406	0.653426492774651
LIHC	-0.227933643858884	0.796177089321947	0.0830201127976253	-2.74552317719091	0.00604144998959298	0.676616879824949	0.936863942450218
LUAD	-0.326282639431194	0.721601205652112	0.108670393355713	-3.00249800663889	0.00267773727048512	0.583172241328285	0.892889378295117
LUSC	0.0981575345458773	1.10313655353689	0.099935898586329	0.982204952718613	0.32599888811853	0.906908943059941	1.34182187204301
PAAD	-0.44414837302966	0.641370251719848	0.153649123528984	-2.89066649277616	0.00384425842122571	0.474594216359293	0.866752660718823
PCPG	-0.82968195683039	0.436187990874512	0.772728692279187	-1.07370408931396	0.282955327986586	0.0959236838538353	1.98345138279983
PRAD	-0.563558219954625	0.569180188093285	0.59192596546355	-0.952075517608508	0.341058684306789	0.178402723307302	1.81592567933994
READ	0.304898178594966	1.35648687657455	0.400868811127008	0.760593416429108	0.446899953279238	0.618294589081442	2.97601932608308
SARC	-0.0103223682572068	0.989730724547817	0.156800863747009	-0.0658310675753767	0.947512321528676	0.727860104102285	1.34581755696324
STAD	0.0592850958340597	1.06107770645598	0.144435192575521	0.410461569489452	0.681467389143321	0.799472871022037	1.40828530891681
THCA	-0.886504230970142	0.412093822530164	0.537267552760419	-1.65002376639979	0.098938075224443	0.143771609385498	1.18118813090682
THYM	0.445520698328742	1.56130295205169	0.772137687440211	0.576996441924408	0.56394185911582	0.343749749008018	7.09139981954861
UCEC	-0.321813147135411	0.724833614914571	0.192891936112129	-1.66835977502107	0.0952443283812162	0.49664768139359	1.05786010685865
