	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.00534390581479351	1.0053582099481	0.0862017121554721	0.0619930356505602	0.950568378081258	0.849074500688206	1.19040806135481
BRCA	0.0743662850774504	1.07720129600395	0.081708081075328	0.910146023486844	0.362745505605495	0.917797398908312	1.26429060868205
CESC	0.0506632813265554	1.05196861616375	0.18632247828203	0.271911804703821	0.785689834267776	0.73013774882772	1.51565642396965
CHOL	-0.0600526069371831	0.941714991539728	0.278668627528955	-0.215498269287394	0.829378861276208	0.545401487883503	1.62600789508681
COAD	-0.111544982079797	0.89445115622506	0.149917818908214	-0.744040854463666	0.456851759334164	0.666724402718258	1.19996038484649
ESCA	-0.0517463858333391	0.949569660625408	0.139501863939737	-0.37093687762977	0.710684547104375	0.722408135676997	1.24816221724199
GBM	-0.160452992750224	0.85175786142545	0.158862610181084	-1.01001105651813	0.312489992869978	0.623867054376844	1.16289432084969
HNSC	-0.00502216268318487	0.994990427290707	0.0969003353903569	-0.0518281248764868	0.958665645250927	0.822881289303708	1.20309692694295
KICH	1.18821863713218	3.28123093525258	0.335937364191666	3.53702434973638	0.000404662356181633	1.69858151914812	6.3385102976148
KIRC	0.657691365277857	1.93033075769575	0.123061407280865	5.34441609120232	9.07089831174266e-08	1.51663708410763	2.45686781178681
KIRP	1.04993552620158	2.85746688038035	0.198076198178135	5.30066477375212	1.15381776807818e-07	1.9381100778618	4.21292735935757
LIHC	0.233428624230525	1.2629226825956	0.0926778695008277	2.51870943395435	0.0117785811948047	1.05314754057722	1.51448267290286
LUAD	0.0803823281853219	1.08370131803847	0.0772570871282712	1.04045248369074	0.298129728912534	0.931425770608616	1.26087186309108
LUSC	-0.148466036252874	0.862029284417945	0.0741647053899878	-2.00184218992282	0.045301706784423	0.745406040891957	0.996898933505989
PAAD	0.237956716121656	1.268654279359	0.188200810016371	1.26437668414369	0.206094857445686	0.877296645628897	1.83459459072949
PCPG	0.82206103912199	2.27518425224679	0.690574596710713	1.19040150483027	0.233888621884939	0.587757812714497	8.80713666359422
PRAD	0.478846133732089	1.61421074386678	0.535991340223963	0.893384086265283	0.371651521820086	0.564577514705381	4.6152676253405
READ	-0.464362912815009	0.628535409516439	0.361188452248488	-1.28565271099957	0.198564291880612	0.309660336519978	1.27577450007231
SARC	0.190166614939436	1.20945109349137	0.122881985733379	1.54755486578843	0.121729505168689	0.950585040863419	1.53881229418341
STAD	-0.154936519279627	0.856469545061647	0.101012887622895	-1.53382922640566	0.125071670874332	0.702634708001315	1.04398498005415
THCA	0.147937798292841	1.15944077492441	0.501267569726563	0.295127407451354	0.767896553569537	0.434079064594364	3.09690796033559
THYM	-1.27961497078272	0.278144373549174	0.627167027510861	-2.04030970164573	0.0413194891365485	0.0813625848683388	0.950858341856439
UCEC	0.281883052280055	1.32562368225417	0.144819386392394	1.94644556438239	0.0516012408307994	0.998044185789848	1.76072179165334
