	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.230835062436919	1.25965145847237	0.137361275042195	1.6804959211831	0.0928608672386836	0.96233939458104	1.64881725279713
BRCA	-0.0912810103979103	0.912761179474714	0.144668070483478	-0.630968603457906	0.528061053381279	0.687409414906576	1.21198946754213
CESC	0.179021512499546	1.19604647384035	0.228890324177927	0.782127917125865	0.434139401559913	0.763688512349791	1.87318146659606
CHOL	0.117974231230412	1.1252151155847	0.467870524487272	0.252151450146805	0.800924002929973	0.449762710096147	2.81506009262002
COAD	0.236448268428361	1.26674202336938	0.159459184882168	1.48281372818433	0.13812390763123	0.926736512184669	1.7314903779794
ESCA	-0.270801291309508	0.762768049987422	0.17999163399467	-1.50452154524875	0.132447130064192	0.536022891148011	1.08542957341902
GBM	0.296560922580046	1.34522451204888	0.220221829636118	1.34664634777609	0.178094159504099	0.873658307647965	2.07132350482532
HNSC	-0.278286226629363	0.757080094015756	0.143628560761594	-1.9375410096275	0.0526792454483116	0.571327297582268	1.00322577125308
KICH	-2.19217369540656	0.111673739904088	1.0652629832966	-2.05787090115775	0.0396025277144031	0.0138419592191871	0.900958020948291
KIRC	-0.879516315310875	0.414983584352509	0.160783852929874	-5.47017812599924	4.49583499343565e-08	0.302810864982867	0.568709366791709
KIRP	-1.25524707783414	0.28500542100217	0.278231032617112	-4.51152794146276	6.43623027597863e-06	0.165204714338397	0.491681428861894
LIHC	-0.11800101306155	0.888695152311273	0.136687422878233	-0.863290934723896	0.387977527143677	0.679836168142371	1.16171970652812
LUAD	-0.257666923736803	0.77285260810034	0.11650668675848	-2.21160631124075	0.0269938789659964	0.615072068344285	0.971107589807118
LUSC	0.165541446696431	1.18003187012863	0.134264910246067	1.23294646675028	0.217595737546126	0.906999897593936	1.53525399309657
PAAD	-0.662032339463477	0.515801983807451	0.215113605214831	-3.07759399412378	0.00208679015949341	0.338359189045849	0.786299574868798
PCPG	-0.896877162796703	0.40784129512148	1.02620217835821	-0.873977059989861	0.382130746662869	0.0545740669561617	3.04786744480633
PRAD	-1.00463190932724	0.366179397220774	0.743438674254588	-1.35133124508829	0.176589347452682	0.0852860024721231	1.57220818261235
READ	0.125796879209976	1.13405179539045	0.34662701871667	0.362917119605156	0.716666797796522	0.574888256528242	2.23708426815833
SARC	-0.396571288574026	0.672622324705655	0.190894203128215	-2.07744018453859	0.0377609505720937	0.462681183070634	0.977824057356082
STAD	0.0631006300717584	1.06513401835119	0.115304976623352	0.547249840550066	0.584207099080625	0.849682123880293	1.33521754214143
THCA	-0.0547513053345059	0.946720563032773	0.889543410772391	-0.0615498970274709	0.950921277619499	0.165592661416064	5.41255763875382
THYM	1.14527440348476	3.14330377201758	0.67189974636146	1.7045316800412	0.0882818027346995	0.842295058287159	11.7302820501786
UCEC	-0.316563361549687	0.728648841777312	0.187285152031384	-1.69027473943391	0.0909754054561965	0.504778522925552	1.05180611002684
