	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0275803468995082	0.972796518229273	0.122588696646815	-0.224982789228674	0.821992663263035	0.765022696292896	1.23699998766662
BRCA	0.058426254387061	1.06016680016122	0.164613872233692	0.354929105270768	0.72264270333507	0.767811509307515	1.46384057876101
CESC	0.347482909956398	1.41550011944921	0.228373542726843	1.52155501818362	0.128120615719278	0.90472793136129	2.21463328223543
CHOL	-0.391563290337711	0.675999264918988	0.526800107305783	-0.743286276725124	0.457308378264896	0.240731631619008	1.89827569853487
COAD	-0.226858417798805	0.797033620076397	0.239766008839644	-0.946165884383254	0.344063983775962	0.498181325976944	1.27516339615164
ESCA	-0.354176086085155	0.701751387820762	0.286108992065782	-1.23790616830289	0.215750854913303	0.400540895655591	1.22947498158043
GBM	-0.428254227757806	0.651645727306307	0.206770070656831	-2.0711615873487	0.0383436979897264	0.434518777301803	0.977269973356349
HNSC	-0.175954261386136	0.83865634143841	0.136337157777282	-1.2905818505735	0.196848712775191	0.641997942334241	1.09555562822767
KICH	-0.544087798339788	0.580370957297256	0.235023703689184	-2.31503371702174	0.0206110869206483	0.366145020537118	0.919937263055001
KIRC	-0.798534094252648	0.449988121041097	0.160962664443804	-4.96098953761687	7.01349698955161e-07	0.328238395379737	0.616897084339686
KIRP	-0.46194371428778	0.63005780219603	0.287157031414277	-1.60867979451055	0.10768637617507	0.358882172825095	1.10613695571209
LIHC	0.0148714918293259	1.01498262267437	0.173421327713701	0.0857535346164403	0.931662344353878	0.722507076456073	1.42585416517172
LUAD	-0.213987235821829	0.807358690227083	0.142726442063653	-1.49928235250476	0.133800398569722	0.610348043195522	1.06796124269113
LUSC	-0.0421545478073146	0.958721600801121	0.140798590683052	-0.299396091983674	0.764637843642983	0.727519326524385	1.26339888760585
PAAD	-0.400366105493022	0.670074683101802	0.234827816025712	-1.70493475717198	0.0882065931317137	0.422899732317951	1.0617175813117
PCPG	-0.685045782162369	0.504067151762367	1.29281898935094	-0.529885303205747	0.596191456559328	0.0399980554492085	6.3524011513128
PRAD	-0.697173980132534	0.497990648556627	0.701576515055301	-0.99372479718421	0.3203568669084	0.125903607828469	1.96971866277032
READ	0.312181003589296	1.36640199431299	0.537070136927998	0.581266732451276	0.561060698199855	0.476895866113461	3.91501487584358
SARC	-0.0816061162188994	0.921634904253354	0.114978355441117	-0.709751986848441	0.47785794777712	0.735680357189048	1.15459232863521
STAD	0.100263394440373	1.10546205229101	0.162281342260536	0.61783685692841	0.536682885255768	0.804284520043456	1.51942045209254
THCA	0.205068009733493	1.22760855145462	0.629475739222914	0.325775874995038	0.744593932811293	0.357477888795059	4.21570900702189
THYM	0.284152706300978	1.32863580632154	0.461064353454966	0.616297278615646	0.537698334641609	0.538204423840986	3.27993050157694
UCEC	-0.0568074472811359	0.944775971035071	0.199103207579616	-0.285316585160588	0.775401607588838	0.639516687726997	1.39574408701951
