	SNP	Chromosome	Position	trait1
1	ENSG00000001617	3	50192477	1.99302461140742e-05
2	ENSG00000001626	7	117120016	0.0379030754336299
3	ENSG00000001631	7	91828282	0.059823387306111
4	ENSG00000002822	7	1855429	5.25929444423251e-13
5	ENSG00000003756	3	50126340	0.164631668342447
6	ENSG00000004534	3	49977439	0.882305508553452
7	ENSG00000004838	3	50378540	0.310005990103879
8	ENSG00000004866	7	116593291	0.882485736579907
9	ENSG00000005339	16	3775054	0.28051942497004
10	ENSG00000006327	16	3068445	0.000149839531400957
11	ENSG00000007168	17	2496503	6.24267766307982e-06
12	ENSG00000007372	11	31806339	0.321856576848361
13	ENSG00000007968	1	23832921	2.68491442885073e-08
14	ENSG00000008226	3	38080695	0.00102647178886285
15	ENSG00000008710	16	2138710	0.396139496291037
16	ENSG00000008853	8	22844929	0.102545491655204
17	ENSG00000010017	6	13621729	0.52401609028116
18	ENSG00000010610	12	6896023	0.405888610832239
19	ENSG00000010671	23	100604434	0.464759071510162
20	ENSG00000011465	12	91539024	1.93501991343309e-11
21	ENSG00000012048	17	41196311	7.49816670006497e-11
22	ENSG00000012171	3	50304989	0.000264299681495169
23	ENSG00000012223	3	46477135	0.0230680631397084
24	ENSG00000012232	8	28480245	0.493228155704152
25	ENSG00000013016	2	31456879	0.000285535537434073
26	ENSG00000013588	12	13043715	0.303326283371685
27	ENSG00000014123	6	96969683	3.39883343616069e-09
28	ENSG00000015171	10	180404	2.01935969738625e-10
29	ENSG00000017427	12	102789644	8.94292720543667e-07
30	ENSG00000019485	11	45115563	0.00504563368503259
31	ENSG00000019505	11	45261851	0.774673440223172
32	ENSG00000020633	1	25226001	0.10573964078338
33	ENSG00000022267	23	135229558	3.00164962253554e-06
34	ENSG00000023191	11	494511	0.023207954254037
35	ENSG00000023287	8	53535015	0.425102835094655
36	ENSG00000023902	1	150121372	0.122076358715801
37	ENSG00000026025	10	17270257	0.550919071356143
38	ENSG00000026103	10	90750413	0.125413984580038
39	ENSG00000026508	11	35160416	0.0400183723274275
40	ENSG00000028203	12	95611521	0.263413465375845
41	ENSG00000030419	2	213864428	0.326419806997452
42	ENSG00000032742	13	21140584	0.0263651471940708
43	ENSG00000033800	15	68346516	0.000193796376300908
44	ENSG00000035664	15	64199234	0.223350952612792
45	ENSG00000039068	16	68771127	0.17354223655071
46	ENSG00000040199	16	71671737	0.00312155334515827
47	ENSG00000042493	2	85621870	0.00326738545564924
48	ENSG00000043514	1	40306722	0.00576032618495548
49	ENSG00000044524	3	89156673	0.00298052133503626
50	ENSG00000049759	18	55711598	0.153462761346584
51	ENSG00000049768	23	49106896	0.000123458929110522
52	ENSG00000050165	11	11984652	0.0822793762859976
53	ENSG00000050405	12	50569570	0.919758459040864
54	ENSG00000050748	5	179660142	0.465223843429473
55	ENSG00000054523	1	10270862	4.38717143534173e-05
56	ENSG00000054598	6	1610680	0.521587486296109
57	ENSG00000055130	7	148395005	0.343740097053063
58	ENSG00000055609	7	151832009	0.0120139504177302
59	ENSG00000057657	6	106534194	0.478504145690021
